model,quantization,average,degradation_pct,size_b,timestamp
DeepSeek-R1-Distill-Llama-8B,int8,0.545171978681607,0.6405674092164512,8.0,2026-01-06T02-12-43.414603
DeepSeek-R1-Distill-Llama-8B,float16,0.544381748492659,0.49468827802567833,8.0,2025-12-07T06-44-29.624931
DeepSeek-R1-Distill-Llama-8B,fp8,0.5419971739044307,0.054487847751823984,8.0,2026-01-05T21-12-30.682863
DeepSeek-R1-Distill-Llama-8B,bfloat16,0.541702012136789,0.0,8.0,2025-12-07T06-13-24.655503
DeepSeek-R1-Distill-Llama-8B,int4,0.5397135750355676,-0.36707212760349045,8.0,2026-01-05T22-43-22.638441
DeepSeek-R1-Distill-Llama-8B,gguf,0.304503080614868,-43.78771468584174,8.0,2025-12-07T07-54-40.441963
DeepSeek-R1-Distill-Qwen-1.5B,int8,0.40909319193431204,0.8631822382614859,1.5,2026-01-06T08-44-39.255657
DeepSeek-R1-Distill-Qwen-1.5B,float16,0.408004549652796,0.5947741420190473,1.5,2025-12-07T08-54-09.142165
DeepSeek-R1-Distill-Qwen-1.5B,fp8,0.40652881082014236,0.23092620284845006,1.5,2026-01-06T03-15-09.586580
DeepSeek-R1-Distill-Qwen-1.5B,bfloat16,0.40559219217171044,0.0,1.5,2025-12-07T08-25-41.140198
DeepSeek-R1-Distill-Qwen-1.5B,int4,0.3917907421005107,-3.402789880471076,1.5,2026-01-06T05-39-08.805059
DeepSeek-R1-Distill-Qwen-1.5B,gptq,0.39060084935948247,-3.6961615883082075,1.5,2026-01-06T04-24-10.180876
DeepSeek-R1-Distill-Qwen-1.5B,awq,0.35600477992431784,-12.225928704860129,1.5,2025-12-09T19-53-33.348795
DeepSeek-R1-Distill-Qwen-1.5B,gguf,0.3006310265000141,-25.87849758884418,1.5,2025-12-07T09-30-53.152552
DeepSeek-R1-Distill-Qwen-14B,float16,0.6434442208532961,0.07688992668358259,14.0,2025-12-07T11-04-55.074804
DeepSeek-R1-Distill-Qwen-14B,bfloat16,0.6429498571794986,0.0,14.0,2025-12-07T10-19-24.351997
DeepSeek-R1-Distill-Qwen-14B,fp8,0.6428617571244694,-0.013702476802112895,14.0,2026-01-06T10-38-58.069615
DeepSeek-R1-Distill-Qwen-14B,int8,0.6427751427412409,-0.027173882427490127,14.0,2026-01-06T21-19-15.727599
DeepSeek-R1-Distill-Qwen-14B,gptq,0.6379169650954515,-0.7827814296631895,14.0,2026-01-06T15-30-03.722375
DeepSeek-R1-Distill-Qwen-14B,int4,0.6348251662407356,-1.2636585649780698,14.0,2026-01-06T17-29-28.682276
DeepSeek-R1-Distill-Qwen-14B,gguf,0.3006310265000141,-53.24191721282489,14.0,2025-12-07T13-15-59.061140
DeepSeek-R1-Distill-Qwen-32B,int8,0.6843752494854637,0.539530033916142,32.0,2025-12-03T17-36-52.863763
DeepSeek-R1-Distill-Qwen-32B,float16,0.6822514196755634,0.22752452068354143,32.0,2025-12-07T15-19-07.944866
DeepSeek-R1-Distill-Qwen-32B,fp8,0.6812626145197025,0.08226209960664393,32.0,2026-01-06T23-36-23.018479
DeepSeek-R1-Distill-Qwen-32B,bfloat16,0.6807026542242595,0.0,32.0,2025-12-07T14-18-58.390596
DeepSeek-R1-Distill-Qwen-32B,int4,0.6794735937364283,-0.18055761648700658,32.0,2026-01-07T02-32-25.288590
DeepSeek-R1-Distill-Qwen-7B,int8,0.5072341838849064,0.8724618183432277,7.0,2025-12-03T21-49-39.663280
DeepSeek-R1-Distill-Qwen-7B,float16,0.5057581815036793,0.5789327176352,7.0,2025-12-07T16-50-24.840337
DeepSeek-R1-Distill-Qwen-7B,fp8,0.5035035534903746,0.13056018003379394,7.0,2026-01-07T03-33-47.179636
DeepSeek-R1-Distill-Qwen-7B,bfloat16,0.502847035495537,0.0,7.0,2025-12-07T16-21-55.299757
DeepSeek-R1-Distill-Qwen-7B,int4,0.5025929739504477,-0.0505246182547276,7.0,2025-12-03T19-38-53.501552
DeepSeek-R1-Distill-Qwen-7B,gptq,0.49780063058348545,-1.0035666029289614,7.0,2026-01-07T05-44-26.078628
DeepSeek-R1-Distill-Qwen-7B,gguf,0.30617874727504724,-39.11095707796716,7.0,2025-12-07T18-01-19.574248
Llama-3.1-70B-Instruct,int4,0.7156319227020984,,70.0,2025-12-01T12-52-20.825316
Llama-3.1-70B-Instruct,int8,0.3269003303110692,,70.0,2025-12-01T17-55-37.303140
Llama-3.1-8B-Instruct,int8,0.63313134800922,0.2390787708258724,8.0,2025-12-01T22-28-34.070472
Llama-3.1-8B-Instruct,float16,0.6320742666516738,0.07171877230514671,8.0,2025-12-08T09-30-32.091087
Llama-3.1-8B-Instruct,bfloat16,0.6316212756271758,0.0,8.0,2025-12-08T09-00-07.811541
Llama-3.1-8B-Instruct,fp8,0.6316183497805626,-0.000463228001670096,8.0,2026-01-07T10-07-30.802912
Llama-3.1-8B-Instruct,int4,0.625209244326604,-1.015170252807742,8.0,2025-12-01T20-08-58.397110
Llama-3.1-8B-Instruct,gguf,0.624829634119372,-1.0752711743378227,8.0,2025-12-08T10-39-41.240532
Llama-3.1-8B-Instruct,gptq,0.6150622106809844,-2.621676245745347,8.0,2026-01-07T13-12-21.439885
Qwen3-14B,float16,0.6740808700459159,0.017757441000761282,14.0,2025-12-17T11-36-36.782700
Qwen3-14B,bfloat16,0.6739611917849166,0.0,14.0,2025-12-17T10-51-32.336506
Qwen3-14B,int8,0.671436187376604,-0.37465130620138376,14.0,2025-12-10T05-29-04.355188
Qwen3-14B,gptq,0.6714119838066073,-0.37824254710542926,14.0,2025-12-17T17-09-33.789106
Qwen3-14B,fp8,0.6703927555932031,-0.5294720579181877,14.0,2025-12-10T00-42-52.733305
Qwen3-14B,int4,0.6703542682996991,-0.5351826676644322,14.0,2025-12-10T02-23-10.181244
Qwen3-14B,awq,0.6663933623434313,-1.1228880139882773,14.0,2025-12-17T10-06-09.887931
Qwen3-30B-A3B-Instruct-2507,float16,0.6900743388145018,0.21133681430294088,30.0,2025-12-11T14-10-30.292176
Qwen3-30B-A3B-Instruct-2507,fp8,0.6900656258011033,0.21007152638941134,30.0,2026-01-05T09-06-41.771287
Qwen3-30B-A3B-Instruct-2507,bfloat16,0.6886190332868696,0.0,30.0,2025-12-10T21-53-55.073021
Qwen3-30B-A3B-Instruct-2507,int8,0.6883259692070367,-0.04255823113602285,30.0,2025-11-28T17-55-51.489441
Qwen3-30B-A3B-Instruct-2507,int4,0.681201464923249,-1.0771657484132533,30.0,2025-12-13T18-10-09.232592
Qwen3-32B,bfloat16,0.6875355690952852,0.0,32.0,2025-12-07T02-51-01.694236
Qwen3-32B,float16,0.6014632138785871,-12.518967612098825,32.0,2025-12-07T04-07-30.824635
Qwen3-32B,int8,0.5999712650077086,-12.735967130078931,32.0,2025-11-29T03-51-34.877554
Qwen3-32B,fp8,0.5982519204052739,-12.986040679684107,32.0,2026-01-05T19-44-55.198881
Qwen3-32B,int4,0.5961920212409323,-13.285646875630036,32.0,2025-11-28T22-50-49.946847
Qwen3-8B,bfloat16,0.6345978966594805,0.0,8.0,2025-12-17T01-02-32.129590
Qwen3-8B,float16,0.6340448417752045,-0.08715044395629361,8.0,2025-12-17T01-43-18.381569
Qwen3-8B,int8,0.633434119704465,-0.18338808892082478,8.0,2025-12-17T08-34-50.805077
Qwen3-8B,fp8,0.6300047540866374,-0.7237878658314865,8.0,2025-12-28T20-06-21.908997
Qwen3-8B,awq,0.6265256490860462,-1.2720255796507582,8.0,2025-12-17T00-21-33.300015
