BaseFeatureIdx,GeometricSim,FunctionalJaccard
0,0.92395794,0.40902021772939345
1,0.81963676,0.04081632653061224
2,0.9550233,0.8277544382707684
3,0.87377805,0.290167865707434
4,0.6106287,0.09415971394517282
5,0.6993213,0.07398790134946487
6,0.6387111,0.7047565960609439
7,0.89394236,0.10110584518167456
8,0.84675425,0.4210819854991634
9,0.8388584,0.1337579617834395
10,0.9816652,0.6514161220043573
11,0.99443185,0.6786324786324787
12,0.75870216,0.35672997522708505
13,0.89806074,0.602224123182207
14,0.975475,0.7917910447761194
15,0.965101,0.3440514469453376
16,0.74059993,0.25349872773536897
17,0.9070284,0.5975299673083908
18,0.4760688,0.117003367003367
19,0.93989074,0.32021902251064693
20,0.9640108,0.7135416666666666
21,0.9773094,0.3844282238442822
22,0.9370113,0.29111531190926276
23,0.97197026,0.4851190476190476
24,0.99218327,0.4178082191780822
25,0.9535623,0.2919298245614035
26,0.9180564,0.4981607987388334
27,0.6793706,0.39025725232621783
28,0.7535244,0.31901840490797545
29,0.84325224,0.7429310066246566
30,0.7705499,0.1955040871934605
31,0.9863964,0.2631578947368421
32,0.9663278,0.6112517580872011
33,0.93128955,0.5466417910447762
34,0.7427856,0.1926648096564531
35,0.7610209,0.3005635566687539
36,0.7645862,0.0
37,0.87583923,0.49703791469194314
38,0.9880462,0.6238747553816048
39,0.86390847,0.12922939335221345
40,0.98228735,0.40649428743235116
41,0.9733106,0.7158730158730159
42,0.7584342,0.20481927710843373
43,0.9111085,0.3442982456140351
44,0.9551687,0.2237960339943343
45,0.97284234,0.5487627365356623
46,0.9921805,0.4592074592074592
47,0.7668684,0.008333333333333333
48,0.9531981,0.44936708860759494
49,0.31819767,0.0
50,0.97822446,0.6107277289836889
51,0.8433371,0.20134874759152216
52,0.8666843,0.23856975381008205
53,0.6610378,0.11213047910295616
54,0.9787894,0.37745098039215685
55,0.784678,0.3845258871436882
56,0.6111608,0.14705882352941177
57,0.9956369,0.7649006622516556
58,0.93931466,0.5585379782981154
59,0.9594089,0.6346328195829556
60,0.6753167,0.020876826722338204
61,0.9505725,0.23136579060749676
62,0.8991852,0.45437476530229065
63,0.8088599,0.31746031746031744
64,0.59487253,0.1106679960119641
65,0.7047488,0.18352941176470589
66,0.8907331,0.6928026335478079
67,0.6882701,0.1527777777777778
68,0.983568,0.5963172804532578
69,0.92242205,0.4052596089008766
70,0.9133504,0.48584371460928655
71,0.8392431,0.4149286498353458
72,0.89888227,0.329153605015674
73,0.8987166,0.31008243500317056
74,0.92681265,0.37970540098199673
75,0.87894386,0.2037735849056604
76,0.9605086,0.46806569343065696
77,0.98115975,0.6348823174411587
78,0.95786333,0.3741935483870968
79,0.92477447,0.3288009888751545
80,0.41505003,0.1251972645975802
81,0.9699283,0.5653817082388511
82,0.6807445,0.3199023199023199
83,0.99067134,0.7201230228471002
84,0.95724154,0.3913419913419913
85,0.9669483,0.5697865353037767
86,0.85745424,0.15725359911406422
87,0.75954115,0.17023445463812437
88,0.9889318,0.8071080538836343
89,0.8776148,0.07777777777777778
90,0.6759616,0.06666666666666667
91,0.46838585,0.15789473684210525
92,0.9023733,0.23741512526340436
93,0.9835545,0.5304878048780488
94,0.7294225,0.17
95,0.9854835,0.7363067292644757
96,0.83714634,0.2964426877470356
97,0.9835295,0.335368793186566
98,0.9223303,0.171875
99,0.9427078,0.43843843843843844
100,0.8622745,0.39197113216057733
101,0.60028464,0.015251989389920425
102,0.91685677,0.22026431718061673
103,0.8192822,0.37567700640078777
104,0.90834826,0.4712060847519015
105,0.84507555,0.2586750788643533
106,0.9658624,0.4624
107,0.7843968,0.6074904158065467
108,0.6424043,0.1115916955017301
109,0.9760529,0.405982905982906
110,0.84769905,0.3620689655172414
111,0.99070686,0.31266149870801035
112,0.9763688,0.7598944591029023
113,0.98740363,0.9097037793667007
114,0.48747572,0.18361823361823362
115,0.92468137,0.3442265795206972
116,0.9323082,0.2396694214876033
117,0.95930624,0.5583432895260853
118,0.838994,0.3562043795620438
119,0.9613329,0.27041525928869464
120,0.99143755,0.5529411764705883
121,0.6554657,0.17166212534059946
122,0.9254461,0.660430047472773
123,0.66628313,0.500820633059789
124,0.65392303,0.2501945525291829
125,0.7811961,0.4969450101832994
126,0.9288388,0.29908972691807545
127,0.97726965,0.6278195488721805
128,0.89450943,0.35148514851485146
129,0.8547373,0.7197542533081286
130,0.8222088,0.7138364779874213
131,0.9839983,0.4363143631436314
132,0.9773863,0.5805016181229773
133,0.9814156,0.4536187563710499
134,0.82611877,0.29336569579288024
135,0.6619401,0.23043478260869565
136,0.9705384,0.4946107784431138
137,0.8891918,0.6875846501128668
138,0.96641815,0.43452958292919497
139,0.96776855,0.6222222222222222
140,0.8771424,0.3727926749509483
141,0.75279695,0.1891891891891892
142,0.91137105,0.11538461538461539
143,0.96336395,0.12301587301587301
144,0.73218286,0.1416490486257928
145,0.7368676,0.3274616079494128
146,0.7518887,0.14485165794066318
147,0.6475521,0.08888888888888889
148,0.97182274,0.9133271202236719
149,0.99082726,0.7480670103092784
150,0.9196469,0.6419308357348703
151,0.58793217,0.07169042769857434
152,0.9629939,0.4343297974927676
153,0.84011066,0.26380368098159507
154,0.9266127,0.33713561470215464
155,0.79281926,0.07304785894206549
156,0.98816025,0.17886178861788618
157,0.9700252,0.4252252252252252
158,0.9204181,0.4425963488843813
159,0.8848769,0.39266108061253974
160,0.6674459,0.11861471861471862
161,0.9819971,0.3297062023939064
162,0.842651,0.2402044293015332
163,0.7566753,0.30078360458107295
164,0.94017386,0.32322175732217573
165,0.9901557,0.03593556381660471
166,0.87469184,0.43637327677624604
167,0.98830926,0.27350427350427353
168,0.9843555,0.8849512932482365
169,0.9890959,0.5633958103638368
170,0.9247893,0.26142595978062155
171,0.7899833,0.42271662763466045
172,0.9731869,0.2465437788018433
173,0.9900335,0.7600377893245158
174,0.94134086,0.5295295295295295
175,0.8755082,0.14186851211072665
176,0.79846376,0.018123928483957875
177,0.98939055,0.7247484909456741
178,0.9488917,0.5670391061452514
179,0.93378264,0.23807044941870553
180,0.7689656,0.3766287487073423
181,0.8860117,0.4954643628509719
182,0.99268126,0.4930747922437673
183,0.87807256,0.38584779706275035
184,0.75624746,0.21052631578947367
185,0.89993185,0.595778364116095
186,0.96992195,0.2669902912621359
187,0.9539198,0.1644295302013423
188,0.76368356,0.7066789376807784
189,0.89753115,0.4033057851239669
190,0.9337947,0.6035911602209945
191,0.9112586,0.3527713625866051
192,0.9892737,0.41916167664670656
193,0.6539275,0.37474374743747435
194,0.7811652,0.2649434571890145
195,0.9887847,0.06935483870967742
196,0.96972847,0.5575035063113605
197,0.9407572,0.2288135593220339
198,0.87121356,0.22276029055690072
199,0.83769786,0.310752688172043
200,0.99466115,0.8838415266542211
201,0.47154877,0.004185447520927237
202,0.9845155,0.2622549019607843
203,0.9464016,0.5228945216680294
204,0.9805216,0.6781609195402298
205,0.98510736,0.03305084745762712
206,0.98345286,0.515686274509804
207,0.77587694,0.08457886407596273
208,0.96610105,0.5207296849087893
209,0.6865431,0.13323353293413173
210,0.8168191,0.41350210970464135
211,0.86726445,0.5144694533762058
212,0.84082663,0.4409366506376751
213,0.9034274,0.5165348670021567
214,0.96993124,0.5730837789661319
215,0.90782726,0.6732421875
216,0.72243255,0.5776290218095443
217,0.97405076,0.5336048879837068
218,0.80664414,0.28057994690626914
219,0.72258466,0.8126357354392892
220,0.6320426,0.20411392405063292
221,0.9139579,0.18811881188118812
222,0.7024545,0.07317073170731707
223,0.9357222,0.21602288984263232
224,0.9727741,0.6766256590509666
225,0.90266824,0.3825065274151436
226,0.7674769,0.1658139534883721
