BaseFeatureIdx,GeometricSim,FunctionalJaccard
0,0.95933765,0.3539253539253539
1,0.8048304,0.11038961038961038
2,0.8115255,0.20864180912639654
3,0.98061544,0.4536256323777403
4,0.7142792,0.27450980392156865
5,0.7115521,0.06426032266885426
6,0.5273253,0.7446892991860234
7,0.94732857,0.2601626016260163
8,0.9169653,0.6910291438979964
9,0.9324716,0.19246031746031747
10,0.9892925,0.5648148148148148
11,0.99555504,0.699798522498321
12,0.65407586,0.2733118971061093
13,0.9017753,0.5448092280390417
14,0.98010653,0.5286406047006024
15,0.93088764,0.2857142857142857
16,0.57936597,0.027803521779425393
17,0.9679668,0.6889144610663598
18,0.7865695,0.0967741935483871
19,0.86227953,0.17564456721915286
20,0.9754058,0.7065841802916483
21,0.84537923,0.2645569620253165
22,0.9649081,0.4059113300492611
23,0.97282153,0.5180240320427236
24,0.9870226,0.4591194968553459
25,0.9591344,0.27930763178599527
26,0.9345733,0.3868402024584237
27,0.78944445,0.38095238095238093
28,0.77061063,0.25444839857651247
29,0.93525577,0.235968617984309
30,0.95761067,0.22424892703862662
31,0.96937793,0.35714285714285715
32,0.9558466,0.6227544910179641
33,0.9526953,0.12409448818897638
34,0.87918293,0.2537313432835821
35,0.9510393,0.5415896487985212
36,0.7598409,0.0
37,0.9607738,0.11337099811676082
38,0.9897576,0.4810074318744839
39,0.9065911,0.3634558093346574
40,0.9783452,0.3314020857473928
41,0.97709125,0.4487081094909184
42,0.7286488,0.16083916083916083
43,0.9890438,0.45681381957773515
44,0.96783406,0.1781150159744409
45,0.97708446,0.4930817610062893
46,0.9885043,0.5612535612535613
47,0.81679225,0.16083916083916083
48,0.7873885,0.3517397881996974
49,0.6205208,0.0
50,0.97324634,0.5315040650406504
51,0.96512127,0.47289719626168225
52,0.97801095,0.49730893433799783
53,0.8697822,0.24922118380062305
54,0.84793186,0.24181360201511334
55,0.91148275,0.5158208955223881
56,0.9475381,0.22458518345407805
57,0.99544346,0.7769230769230769
58,0.93939304,0.4912959381044487
59,0.9640975,0.6199367088607595
60,0.6882682,0.041237113402061855
61,0.97862095,0.2507592190889371
62,0.9743735,0.6355239786856128
63,0.99089134,0.4697986577181208
64,0.80680203,0.383206106870229
65,0.9623635,0.3471264367816092
66,0.8811611,0.3534052487522138
67,0.68150914,0.06568364611260054
68,0.9746138,0.6379310344827587
69,0.8992469,0.41767764298093585
70,0.95892304,0.5450843513670739
71,0.89797646,0.2822257806244996
72,0.8872613,0.27598566308243727
73,0.8778872,0.30673143650242884
74,0.94543946,0.3429869392390687
75,0.93400574,0.5482954545454546
76,0.954167,0.45511111111111113
77,0.9754773,0.5891032917139614
78,0.98257977,0.5085836909871244
79,0.9760337,0.15
80,0.91489387,0.414039262343843
81,0.96223867,0.5548334687246141
82,0.94828993,0.5404109589041096
83,0.9797712,0.6453009961022087
84,0.9464196,0.4388327721661055
85,0.83877105,0.21094439541041482
86,0.87381166,0.22954303931987247
87,0.70807385,0.15985130111524162
88,0.9896635,0.7520783847980997
89,0.63188803,0.15779586725109582
90,0.72864443,0.6634346754313887
91,0.75872314,0.24030037546933666
92,0.8863556,0.3957703927492447
93,0.98419577,0.696969696969697
94,0.87022156,0.3702290076335878
95,0.98262525,0.6084452975047985
96,0.73677826,0.2235434007134364
97,0.9694694,0.34357798165137615
98,0.9403948,0.18562874251497005
99,0.9640919,0.695898161244696
100,0.7986349,0.050880626223091974
101,0.53553015,0.03773584905660377
102,0.9652,0.4264538198403649
103,0.76996285,0.2939068100358423
104,0.7536579,0.3777009507346586
105,0.8482102,0.2507042253521127
106,0.8696393,0.28891820580474936
107,0.6961733,0.05219893136046034
108,0.87069273,0.28205128205128205
109,0.976652,0.4444444444444444
110,0.845178,0.3560830860534125
111,0.98975694,0.3476923076923077
