"arxiv_link","bibtex","models_used","used_quantization"
"https://arxiv.org/abs/2309.08600","@article{Cunningham2023SparseAF, title={Sparse Autoencoders Find Highly Interpretable Features in Language Models}, author={Hoagy Cunningham and Aidan Ewart and Logan Riggs and Robert Huben and Lee Sharkey}, journal={arXiv preprint arXiv:2309.08600}, year={2023}}","GPT-2 Small","No"
"https://arxiv.org/abs/2211.00593","@article{wang2022interpretability, title={Interpretability in the Wild: a Circuit for Indirect Object Identification in GPT-2 small}, author={Wang, Kevin and Variengien, Alexandre and Conmy, Arthur and Shlegeris, Buck and Steinhardt, Jacob}, journal={arXiv preprint arXiv:2211.00593}, year={2022}}","GPT-2 Small","No"
"https://arxiv.org/abs/2305.01610","@article{gurnee2023finding, title={Finding Neurons in a Haystack: Case Studies with Sparse Probing}, author={Gurnee, Wes and Nanda, Neel and Pauly, Matthew and Harvey, Katherine and Troitskii, Dmitrii and Bertsimas, Dimitris}, journal={Transactions of Machine Learning Research}, year={2023}, url={https://openreview.net/forum?id=ePUVetPKu6}}","7 models from 70M to 6.9B parameters (likely GPT and Pythia families)","No"
"https://www.lesswrong.com/posts/AcKRB8wDpdaN6v6ru/interpreting-gpt-the-logit-lens","@misc{nostalgebraist_logit_lens, author = {nostalgebraist}, title = {Interpreting GPT: the logit lens}, howpublished = {LessWrong}, year = {2020}, url = {https://www.lesswrong.com/posts/AcKRB8wDpdaN6v6ru/interpreting-gpt-the-logit-lens}}","GPT-2 (1.5B), GPT-Neo models (125M to 2.7B), CTRL","No"
"https://arxiv.org/abs/2203.14680","@article{Geva2022TransformerFL, title={Transformer Feed-Forward Layers Build Predictions by Promoting Concepts in the Vocabulary Space}, author={Mor Geva and Avi Caciularu and Kevin Ro Wang and Yoav Goldberg}, journal={EMNLP}, year={2022}, url={https://arxiv.org/abs/2203.14680}, eprint={2203.14680}, archivePrefix={arXiv}, primaryClass={cs.CL}, doi={10.48550/arXiv.2203.14680}}","WIKILM (16-layer), GPT-2 (12-layer and 24-layer)","No"
"https://transformer-circuits.pub/2023/monosemantic-features/index.html","@article{bricken2023towards, title={Towards Monosemanticity: Decomposing Language Models With Dictionary Learning}, author={Bricken, Trenton and Templeton, Adly and Batson, Joshua and Chen, Brian and Jermyn, Adam and Conerly, Tom and Turner, Nicholas L and Anil, Cem and Denison, Carson and Askell, Amanda and Lasenby, Robert and Wu, Yifan and Krauna, Shauna and Schiefer, Nicholas and Maxwell, Tim and Joseph, Nicholas and Hatfield-Dodds, Zac and Tamkin, Alex and Nguyen, Karina and McLean, Brayden and Burke, Josiah E and Hume, Tristan and Carter, Shan and Henighan, Tom and Olah, Christopher}, year={2023}, journal={Transformer Circuits Thread}, url={https://transformer-circuits.pub/2023/monosemantic-features}}","1-layer transformer (512 neurons)","No"
"https://openaipublic.blob.core.windows.net/neuron-explainer/paper/index.html","@misc{bills2023language, title={Language models can explain neurons in language models}, author={ Bills, Steven and Cammarata, Nick and Mossing, Dan and Tillman, Henk and Gao, Leo and Goh, Gabriel and Sutskever, Ilya and Leike, Jan and Wu, Jeff and Saunders, William }, year={2023}, howpublished = {"url": "https://openaipublic.blob.core.windows.net/neuron-explainer/paper/index.html"}}}","GPT-2 XL, GPT-4 (activations discretized for analysis)","No"
"https://transformer-circuits.pub/2021/framework/index.html","@article{elhage2021mathematical, title={A Mathematical Framework for Transformer Circuits}, author={Elhage, Nelson and Nanda, Neel and Olsson, Catherine and Henighan, Tom and Joseph, Nicholas and Mann, Ben and Askell, Amanda and Bai, Yuntao and Chen, Anna and Conerly, Tom and DasSarma, Nova and Drain, Dawn and Ganguli, Deep and Hatfield-Dodds, Zac and Hernandez, Danny and Jones, Andy and Kernion, Jackson and Lovitt, Liane and Ndousse, Kamal and Amodei, Dario and Brown, Tom and Clark, Jack and Kaplan, Jared and McCandlish, Sam and Olah, Chris}, journal={Transformer Circuits Thread}, year={2021}, url={https://transformer-circuits.pub/2021/framework/index.html}}","Toy transformers (0-layer, 1-layer, 2-layer, attention-only)","No"
"https://arxiv.org/abs/2209.02535","@inproceedings{dar-etal-2023-analyzing, title = \"Analyzing Transformers in Embedding Space\", author = \"Dar, Guy and Geva, Mor and Gupta, Ankit and Berant, Jonathan\", editor = \"Rogers, Anna and Boyd-Graber, Jordan and Okazaki, Naoaki\", month = \"July\", year = \"2023\", address = \"Toronto, Canada\", publisher = \"Association for Computational Linguistics\", url = \"https://aclanthology.org/2023.acl-long.893\", pages = \"16124--16170\"}","GPT-2 (base, medium, large), BERT-base, RoBERTa, T5","No"
"https://arxiv.org/abs/2303.08112","@article{Belrose2023ElicitingLP, title={Eliciting Latent Predictions from Transformers with the Tuned Lens}, author={Nora Belrose and Zach Furman and Logan Smith and Danny Halawi and Igor V. Ostrovsky and Lev McKinney and Stella Biderman and Jacob Steinhardt}, journal={arXiv preprint arXiv:2303.08112}, year={2023}}","GPT-Neo-2.7B, BLOOM, GPT Neo, OPT 125M, Pythia, GPT-2, GPT-NeoX-20B, LLaMA 13B, Vicuna 13B","No"
