scope,layer,mean,std,low_entropy_frac,method,model
global,-1,0.1364826,0.1991464793682098,0.9908854166666666,bfloat16,google_gemma-3-12b-it
layer,0,0.014798436,,1.0,bfloat16,google_gemma-3-12b-it
layer,1,0.01860904,,1.0,bfloat16,google_gemma-3-12b-it
layer,2,0.038857765,,1.0,bfloat16,google_gemma-3-12b-it
layer,3,0.015963148,,1.0,bfloat16,google_gemma-3-12b-it
layer,4,0.01780459,,1.0,bfloat16,google_gemma-3-12b-it
layer,5,0.032782875,,1.0,bfloat16,google_gemma-3-12b-it
layer,6,0.016684115,,1.0,bfloat16,google_gemma-3-12b-it
layer,7,0.019676138,,1.0,bfloat16,google_gemma-3-12b-it
layer,8,0.013063703,,1.0,bfloat16,google_gemma-3-12b-it
layer,9,0.02811579,,1.0,bfloat16,google_gemma-3-12b-it
layer,10,0.026681202,,1.0,bfloat16,google_gemma-3-12b-it
layer,11,0.050522838,,1.0,bfloat16,google_gemma-3-12b-it
layer,12,0.02698458,,1.0,bfloat16,google_gemma-3-12b-it
layer,13,0.03598933,,1.0,bfloat16,google_gemma-3-12b-it
layer,14,0.024100073,,1.0,bfloat16,google_gemma-3-12b-it
layer,15,0.025176704,,1.0,bfloat16,google_gemma-3-12b-it
layer,16,0.044605028,,1.0,bfloat16,google_gemma-3-12b-it
layer,17,0.15294267,,1.0,bfloat16,google_gemma-3-12b-it
layer,18,0.15134443,,1.0,bfloat16,google_gemma-3-12b-it
layer,19,0.09673935,,1.0,bfloat16,google_gemma-3-12b-it
layer,20,0.07090237,,1.0,bfloat16,google_gemma-3-12b-it
layer,21,0.060534142,,1.0,bfloat16,google_gemma-3-12b-it
layer,22,0.12192753,,1.0,bfloat16,google_gemma-3-12b-it
layer,23,0.753766,,1.0,bfloat16,google_gemma-3-12b-it
layer,24,0.20094644,,1.0,bfloat16,google_gemma-3-12b-it
layer,25,0.1030528,,1.0,bfloat16,google_gemma-3-12b-it
layer,26,0.12418422,,1.0,bfloat16,google_gemma-3-12b-it
layer,27,0.16890019,,1.0,bfloat16,google_gemma-3-12b-it
layer,28,0.15115258,,1.0,bfloat16,google_gemma-3-12b-it
layer,29,0.95249337,,0.625,bfloat16,google_gemma-3-12b-it
layer,30,0.1367549,,1.0,bfloat16,google_gemma-3-12b-it
layer,31,0.08497741,,1.0,bfloat16,google_gemma-3-12b-it
layer,32,0.104126796,,1.0,bfloat16,google_gemma-3-12b-it
layer,33,0.1554157,,1.0,bfloat16,google_gemma-3-12b-it
layer,34,0.10269262,,1.0,bfloat16,google_gemma-3-12b-it
layer,35,0.38963038,,1.0,bfloat16,google_gemma-3-12b-it
layer,36,0.07739476,,1.0,bfloat16,google_gemma-3-12b-it
layer,37,0.07059487,,1.0,bfloat16,google_gemma-3-12b-it
layer,38,0.09051989,,1.0,bfloat16,google_gemma-3-12b-it
layer,39,0.081540965,,1.0,bfloat16,google_gemma-3-12b-it
layer,40,0.075399786,,1.0,bfloat16,google_gemma-3-12b-it
layer,41,0.77547497,,0.9375,bfloat16,google_gemma-3-12b-it
layer,42,0.08500255,,1.0,bfloat16,google_gemma-3-12b-it
layer,43,0.3128392,,1.0,bfloat16,google_gemma-3-12b-it
layer,44,0.09552212,,1.0,bfloat16,google_gemma-3-12b-it
layer,45,0.047957446,,1.0,bfloat16,google_gemma-3-12b-it
layer,46,0.16151111,,1.0,bfloat16,google_gemma-3-12b-it
layer,47,0.14450723,,1.0,bfloat16,google_gemma-3-12b-it
global,-1,0.15587096,0.2390620857477188,0.97265625,awq,google_gemma-3-12b-it
layer,0,0.016387217,,1.0,awq,google_gemma-3-12b-it
layer,1,0.046913497,,1.0,awq,google_gemma-3-12b-it
layer,2,0.031546853,,1.0,awq,google_gemma-3-12b-it
layer,3,0.06454514,,1.0,awq,google_gemma-3-12b-it
layer,4,0.013071647,,1.0,awq,google_gemma-3-12b-it
layer,5,0.025942994,,1.0,awq,google_gemma-3-12b-it
layer,6,0.013416188,,1.0,awq,google_gemma-3-12b-it
layer,7,0.01996555,,1.0,awq,google_gemma-3-12b-it
layer,8,0.011828322,,1.0,awq,google_gemma-3-12b-it
layer,9,0.028753262,,1.0,awq,google_gemma-3-12b-it
layer,10,0.02489109,,1.0,awq,google_gemma-3-12b-it
layer,11,0.037805635,,1.0,awq,google_gemma-3-12b-it
layer,12,0.034182224,,1.0,awq,google_gemma-3-12b-it
layer,13,0.046031322,,1.0,awq,google_gemma-3-12b-it
layer,14,0.023341227,,1.0,awq,google_gemma-3-12b-it
layer,15,0.03371238,,1.0,awq,google_gemma-3-12b-it
layer,16,0.067724235,,1.0,awq,google_gemma-3-12b-it
layer,17,0.18779339,,1.0,awq,google_gemma-3-12b-it
layer,18,0.13910547,,1.0,awq,google_gemma-3-12b-it
layer,19,0.10971236,,1.0,awq,google_gemma-3-12b-it
layer,20,0.096140295,,1.0,awq,google_gemma-3-12b-it
layer,21,0.097504936,,1.0,awq,google_gemma-3-12b-it
layer,22,0.14860983,,1.0,awq,google_gemma-3-12b-it
layer,23,0.7747412,,0.875,awq,google_gemma-3-12b-it
layer,24,0.17881417,,1.0,awq,google_gemma-3-12b-it
layer,25,0.108786955,,1.0,awq,google_gemma-3-12b-it
layer,26,0.14995924,,1.0,awq,google_gemma-3-12b-it
layer,27,0.18256465,,1.0,awq,google_gemma-3-12b-it
layer,28,0.14530163,,1.0,awq,google_gemma-3-12b-it
layer,29,0.9351547,,0.5625,awq,google_gemma-3-12b-it
layer,30,0.12942511,,1.0,awq,google_gemma-3-12b-it
layer,31,0.073800206,,1.0,awq,google_gemma-3-12b-it
layer,32,0.106601395,,1.0,awq,google_gemma-3-12b-it
layer,33,0.12136794,,1.0,awq,google_gemma-3-12b-it
layer,34,0.12014681,,1.0,awq,google_gemma-3-12b-it
layer,35,0.47547597,,1.0,awq,google_gemma-3-12b-it
layer,36,0.10575166,,1.0,awq,google_gemma-3-12b-it
layer,37,0.06712706,,1.0,awq,google_gemma-3-12b-it
layer,38,0.114282906,,1.0,awq,google_gemma-3-12b-it
layer,39,0.072551444,,1.0,awq,google_gemma-3-12b-it
layer,40,0.07128832,,1.0,awq,google_gemma-3-12b-it
layer,41,1.114287,,0.25,awq,google_gemma-3-12b-it
layer,42,0.081927985,,1.0,awq,google_gemma-3-12b-it
layer,43,0.34908134,,1.0,awq,google_gemma-3-12b-it
layer,44,0.08956425,,1.0,awq,google_gemma-3-12b-it
layer,45,0.05425343,,1.0,awq,google_gemma-3-12b-it
layer,46,0.21212548,,1.0,awq,google_gemma-3-12b-it
layer,47,0.32850024,,1.0,awq,google_gemma-3-12b-it
global,-1,0.13976349,0.2097712457180023,0.9856770833333334,hqq,google_gemma-3-12b-it
layer,0,0.013226806,,1.0,hqq,google_gemma-3-12b-it
layer,1,0.019285673,,1.0,hqq,google_gemma-3-12b-it
layer,2,0.041766383,,1.0,hqq,google_gemma-3-12b-it
layer,3,0.016455736,,1.0,hqq,google_gemma-3-12b-it
layer,4,0.017328784,,1.0,hqq,google_gemma-3-12b-it
