layer,kl_mean,kl_std,method,model
0,18.3725,3.6692142,awq,google_gemma-3-12b-it
1,16.60445,4.8081794,awq,google_gemma-3-12b-it
2,17.077461,4.6643353,awq,google_gemma-3-12b-it
3,16.62471,5.0460367,awq,google_gemma-3-12b-it
4,16.871727,4.9190526,awq,google_gemma-3-12b-it
5,17.25819,4.2784796,awq,google_gemma-3-12b-it
6,17.624594,3.9866607,awq,google_gemma-3-12b-it
7,16.887577,4.4436965,awq,google_gemma-3-12b-it
8,17.347395,4.089355,awq,google_gemma-3-12b-it
9,17.500505,3.9914494,awq,google_gemma-3-12b-it
10,18.29018,3.3133368,awq,google_gemma-3-12b-it
11,18.652298,3.0158882,awq,google_gemma-3-12b-it
12,18.618153,3.0036461,awq,google_gemma-3-12b-it
13,18.575827,2.9810033,awq,google_gemma-3-12b-it
14,18.327314,3.2164564,awq,google_gemma-3-12b-it
15,18.199362,3.4149158,awq,google_gemma-3-12b-it
16,17.15738,4.2349405,awq,google_gemma-3-12b-it
17,16.122248,4.544901,awq,google_gemma-3-12b-it
18,15.9439745,4.586561,awq,google_gemma-3-12b-it
19,16.085201,4.173938,awq,google_gemma-3-12b-it
20,15.93574,4.2408524,awq,google_gemma-3-12b-it
21,15.710264,4.251091,awq,google_gemma-3-12b-it
22,15.676031,4.2550297,awq,google_gemma-3-12b-it
23,13.724118,4.879311,awq,google_gemma-3-12b-it
24,14.037669,4.7398944,awq,google_gemma-3-12b-it
25,13.807383,4.786329,awq,google_gemma-3-12b-it
26,13.36263,4.5907836,awq,google_gemma-3-12b-it
27,12.841624,4.6086764,awq,google_gemma-3-12b-it
28,13.442747,4.6131763,awq,google_gemma-3-12b-it
29,13.620648,4.778176,awq,google_gemma-3-12b-it
30,13.75187,4.689788,awq,google_gemma-3-12b-it
31,13.224759,4.807795,awq,google_gemma-3-12b-it
32,13.12225,4.461905,awq,google_gemma-3-12b-it
33,13.044182,4.4342203,awq,google_gemma-3-12b-it
34,13.163703,4.186631,awq,google_gemma-3-12b-it
35,12.728814,4.3527017,awq,google_gemma-3-12b-it
36,12.544924,4.3108006,awq,google_gemma-3-12b-it
37,12.607181,4.4112926,awq,google_gemma-3-12b-it
38,12.966022,4.15447,awq,google_gemma-3-12b-it
39,13.13132,4.2388473,awq,google_gemma-3-12b-it
40,13.006649,4.288555,awq,google_gemma-3-12b-it
41,13.686034,4.730129,awq,google_gemma-3-12b-it
42,14.368637,4.659663,awq,google_gemma-3-12b-it
43,15.07439,4.4711885,awq,google_gemma-3-12b-it
44,15.121426,3.9761927,awq,google_gemma-3-12b-it
45,14.27776,4.5058985,awq,google_gemma-3-12b-it
46,14.051748,4.8641095,awq,google_gemma-3-12b-it
47,14.599806,4.971164,awq,google_gemma-3-12b-it
0,18.872717,3.4693,hqq,google_gemma-3-12b-it
1,18.982138,3.377661,hqq,google_gemma-3-12b-it
2,18.841423,3.5328465,hqq,google_gemma-3-12b-it
3,18.38136,3.8684394,hqq,google_gemma-3-12b-it
4,18.099237,4.2734814,hqq,google_gemma-3-12b-it
