layer,kl_mean,kl_std,method
0,0.008605835,0.009614377,int4
1,0.02175449,0.024055175,int4
2,0.030311236,0.036553256,int4
3,0.04024927,0.041772515,int4
4,0.051131472,0.057491068,int4
5,0.055808347,0.071056545,int4
6,0.06291401,0.074174024,int4
7,0.06564303,0.07869049,int4
8,0.07114233,0.07908541,int4
9,0.07021999,0.07325516,int4
10,0.0728989,0.07126878,int4
11,0.072808184,0.067753226,int4
12,0.07814347,0.07133105,int4
13,0.08203407,0.0742008,int4
14,0.07963425,0.077263065,int4
15,0.08732494,0.0979823,int4
16,0.08806365,0.09334422,int4
17,0.09410385,0.10668844,int4
18,0.09958034,0.119732015,int4
19,0.097654276,0.11395775,int4
20,0.09978153,0.12395238,int4
21,0.095791176,0.1368301,int4
22,0.102681816,0.19139336,int4
23,0.099832915,0.176957,int4
24,0.10134231,0.17834577,int4
25,0.09127655,0.10984484,int4
26,0.09310809,0.12553117,int4
27,0.10112023,0.12875837,int4
28,0.09567858,0.1475954,int4
29,0.097580515,0.14105083,int4
30,0.10952175,0.16579293,int4
31,0.112480864,0.18958823,int4
32,0.11341202,0.16515088,int4
33,0.117931105,0.23896722,int4
34,0.11772549,0.25024354,int4
35,0.11019028,0.23584078,int4
36,0.11878655,0.25424838,int4
37,0.10104985,0.14274395,int4
38,0.10524626,0.17791158,int4
39,0.12631008,0.22838424,int4
40,0.13846354,0.29002824,int4
41,0.15014873,0.3119385,int4
42,0.16998714,0.3239206,int4
43,0.18475755,0.41672465,int4
44,0.20527494,0.42487878,int4
45,0.1961099,0.43857032,int4
46,0.14751418,0.36731577,int4
47,0.085915975,0.23738618,int4
0,2.1952346e-05,8.816413e-05,float16
1,0.00021761339,0.0007700397,float16
2,0.000549849,0.002568804,float16
3,0.00075590133,0.0022192635,float16
4,0.0011616537,0.0038776458,float16
5,0.001400025,0.004915394,float16
6,0.001759826,0.0046537453,float16
7,0.0019578552,0.004559311,float16
8,0.0022235366,0.0064442335,float16
9,0.0023794295,0.005856651,float16
10,0.0025443377,0.0061881864,float16
11,0.0027324096,0.006864198,float16
12,0.0030025712,0.0069454038,float16
13,0.003069825,0.006191246,float16
14,0.0034357759,0.01255537,float16
15,0.0036652908,0.009545234,float16
16,0.0037901786,0.008473109,float16
17,0.0039026965,0.008858667,float16
18,0.004552365,0.012118593,float16
19,0.00481304,0.011572105,float16
20,0.004669616,0.009385527,float16
21,0.004708344,0.010596228,float16
22,0.005204663,0.021133559,float16
23,0.0053327177,0.021612454,float16
24,0.0056696534,0.020201731,float16
25,0.005150511,0.013942725,float16
26,0.0053654783,0.012327421,float16
27,0.005887473,0.014072392,float16
28,0.005733139,0.012784904,float16
29,0.0056767715,0.01215566,float16
30,0.0061858357,0.013791668,float16
31,0.0065461057,0.01750969,float16
32,0.0066555375,0.018463062,float16
33,0.009171302,0.07095458,float16
34,0.011488766,0.1540735,float16
35,0.010555575,0.1392438,float16
36,0.0110160075,0.13933645,float16
37,0.0062443456,0.018742723,float16
38,0.005960237,0.014322286,float16
39,0.0071264943,0.016557734,float16
40,0.0076306504,0.019108644,float16
41,0.008229328,0.023147197,float16
42,0.009744795,0.033239666,float16
43,0.0119067915,0.06662765,float16
44,0.010952234,0.047248274,float16
45,0.010001763,0.04319745,float16
46,0.006501413,0.02274615,float16
47,0.003795418,0.012702906,float16
0,0.000726036,0.0015840924,int8
1,0.0014351689,0.0032505584,int8
2,0.002305669,0.005016668,int8
3,0.0031981599,0.0063773515,int8
4,0.0042089843,0.007986422,int8
5,0.004978866,0.010085785,int8
6,0.0064971484,0.013865655,int8
7,0.0072681224,0.019398307,int8
8,0.007199127,0.015171042,int8
9,0.007854744,0.0155873345,int8
10,0.008285846,0.015830677,int8
11,0.008596879,0.013495942,int8
12,0.009482627,0.014412916,int8
13,0.00986178,0.01370638,int8
14,0.00980064,0.013808256,int8
15,0.010291881,0.014703928,int8
16,0.010183908,0.01282972,int8
17,0.010983622,0.016257305,int8
18,0.013736404,0.036443625,int8
19,0.013291819,0.028043795,int8
20,0.012896586,0.020710224,int8
21,0.014682536,0.06334086,int8
22,0.015194007,0.074434415,int8
23,0.015315263,0.07171263,int8
24,0.015846567,0.07058543,int8
25,0.013518739,0.028760178,int8
26,0.0135591775,0.023697464,int8
27,0.014905858,0.035286095,int8
28,0.014634114,0.041558262,int8
29,0.013614635,0.030755341,int8
30,0.015641456,0.037750285,int8
31,0.016738007,0.064950734,int8
32,0.018003372,0.090823345,int8
33,0.021138744,0.13148957,int8
34,0.022500483,0.14750265,int8
35,0.023270557,0.1921078,int8
36,0.024891362,0.24666938,int8
37,0.014545941,0.048475426,int8
38,0.013962107,0.028255308,int8
39,0.016672283,0.045422617,int8
40,0.017283943,0.039604895,int8
41,0.018013658,0.041078478,int8
42,0.021814903,0.067559175,int8
43,0.025267983,0.10474843,int8
44,0.023931889,0.0832484,int8
45,0.02228224,0.07276391,int8
46,0.014849609,0.042789523,int8
47,0.014348635,0.09095049,int8
