layer,kl_mean,kl_std,method
0,0.00091803266,0.0006597079,fp8
1,0.0010504707,0.0008188656,fp8
2,0.0011906177,0.0010579893,fp8
3,0.0013253778,0.0011609269,fp8
4,0.0014225935,0.0013018536,fp8
5,0.0015542862,0.0013888251,fp8
6,0.0017501387,0.0015248656,fp8
7,0.002108622,0.0020401874,fp8
8,0.0020299628,0.0020499094,fp8
9,0.0018809049,0.0019476647,fp8
10,0.002107346,0.0021541815,fp8
11,0.002492035,0.0024327182,fp8
12,0.0026796083,0.0026851727,fp8
13,0.0027731156,0.0027698993,fp8
14,0.0027497665,0.0025930423,fp8
15,0.0028150342,0.0026237904,fp8
16,0.002814941,0.0024668563,fp8
17,0.0029698948,0.0025222101,fp8
18,0.003095856,0.0026225587,fp8
19,0.0032256532,0.0026168907,fp8
20,0.0033866125,0.0027942273,fp8
21,0.0034442921,0.0027958264,fp8
22,0.0037496714,0.0030573274,fp8
23,0.003912452,0.0032385578,fp8
24,0.0042079347,0.003480736,fp8
25,0.0044097947,0.0035613861,fp8
26,0.004763521,0.00409297,fp8
27,0.0049697002,0.0042067138,fp8
28,0.005303566,0.0047442266,fp8
29,0.0058380235,0.0077440785,fp8
30,0.006144581,0.00820904,fp8
31,0.0064063724,0.009238349,fp8
32,0.006309211,0.013647462,fp8
33,0.0061491327,0.00930445,fp8
34,0.006794903,0.008857097,fp8
35,0.00763779,0.009079584,fp8
36,0.008026114,0.008924563,fp8
37,0.008244677,0.010517951,fp8
38,0.008073816,0.011225967,fp8
39,0.008266211,0.011218321,fp8
40,0.008522024,0.010057782,fp8
41,0.008693769,0.010273825,fp8
42,0.009210068,0.009556555,fp8
43,0.010342182,0.023055684,fp8
44,0.010489246,0.018278128,fp8
45,0.012412123,0.033731494,fp8
46,0.012749491,0.031074619,fp8
47,0.0135260215,0.034617152,fp8
48,0.015965613,0.058542315,fp8
49,0.018095538,0.079368025,fp8
50,0.019166226,0.065543234,fp8
51,0.020290969,0.06768888,fp8
52,0.02314038,0.1202519,fp8
53,0.024739524,0.09215144,fp8
54,0.026965635,0.10463712,fp8
55,0.028247833,0.100161925,fp8
56,0.027641417,0.08783346,fp8
57,0.030315027,0.104077764,fp8
58,0.02985933,0.109619826,fp8
59,0.028822605,0.08477342,fp8
60,0.027879067,0.07649629,fp8
61,0.02334833,0.06965816,fp8
62,0.015923012,0.1256154,fp8
63,0.010125068,0.030740758,fp8
0,0.007197084,0.0062833535,int4
1,0.0082940515,0.0077717085,int4
2,0.009645614,0.009360526,int4
3,0.011951192,0.0115913395,int4
4,0.013143228,0.014796873,int4
5,0.015987137,0.017448654,int4
6,0.01796619,0.017276729,int4
7,0.021994505,0.021065928,int4
8,0.022653867,0.022514263,int4
9,0.020984383,0.02181449,int4
10,0.023158846,0.024263835,int4
11,0.026772317,0.026053602,int4
12,0.029271217,0.028835079,int4
13,0.030344484,0.030023534,int4
14,0.03166255,0.031732224,int4
15,0.031151038,0.030409377,int4
16,0.03154079,0.030418627,int4
17,0.032297496,0.030344049,int4
18,0.033675432,0.032085314,int4
19,0.034434885,0.030307125,int4
20,0.035684023,0.029415956,int4
21,0.03743366,0.0316914,int4
22,0.04024205,0.033831667,int4
23,0.042062752,0.03524891,int4
24,0.04442811,0.03588884,int4
25,0.04682702,0.038761746,int4
