scope,layer,mean,std,low_entropy_frac,method
global,-1,2.817701,1.1256221532821655,0.1345486111111111,bfloat16
layer,0,3.625384,,0.0,bfloat16
layer,1,3.6253526,,0.0,bfloat16
layer,2,3.6253712,,0.0,bfloat16
layer,3,3.6252532,,0.0,bfloat16
layer,4,3.6247687,,0.0,bfloat16
layer,5,3.6242595,,0.0,bfloat16
layer,6,3.6203246,,0.0,bfloat16
layer,7,3.6192694,,0.0,bfloat16
layer,8,3.6121912,,0.0,bfloat16
layer,9,3.616755,,0.0,bfloat16
layer,10,3.5704036,,0.0,bfloat16
layer,11,3.6104755,,0.0,bfloat16
layer,12,3.6059432,,0.0,bfloat16
layer,13,3.6135106,,0.0,bfloat16
layer,14,3.6001804,,0.0,bfloat16
layer,15,3.5781722,,0.0,bfloat16
layer,16,3.5137305,,0.0,bfloat16
layer,17,3.5467296,,0.0,bfloat16
layer,18,3.5175018,,0.0,bfloat16
layer,19,3.3302774,,0.0,bfloat16
layer,20,3.3800306,,0.0,bfloat16
layer,21,3.2097392,,0.0,bfloat16
layer,22,2.7777438,,0.0,bfloat16
layer,23,2.6637337,,0.0,bfloat16
layer,24,2.513018,,0.0,bfloat16
layer,25,2.6999202,,0.0,bfloat16
layer,26,2.5578928,,0.0,bfloat16
layer,27,2.4032474,,0.0,bfloat16
layer,28,2.3036847,,0.0,bfloat16
layer,29,1.5854765,,0.0,bfloat16
layer,30,1.230953,,0.34375,bfloat16
layer,31,0.82854414,,0.65625,bfloat16
layer,32,0.63585114,,0.84375,bfloat16
layer,33,0.39522952,,1.0,bfloat16
layer,34,0.4191265,,1.0,bfloat16
layer,35,0.12719129,,1.0,bfloat16
global,-1,2.9129095,1.078312635421753,0.1232638888888889,hqq
layer,0,3.6253843,,0.0,hqq
layer,1,3.6253529,,0.0,hqq
layer,2,3.625371,,0.0,hqq
layer,3,3.6252606,,0.0,hqq
layer,4,3.624751,,0.0,hqq
layer,5,3.624534,,0.0,hqq
layer,6,3.6222653,,0.0,hqq
layer,7,3.6220555,,0.0,hqq
layer,8,3.615683,,0.0,hqq
layer,9,3.6188593,,0.0,hqq
layer,10,3.5817494,,0.0,hqq
layer,11,3.614216,,0.0,hqq
layer,12,3.6082118,,0.0,hqq
layer,13,3.6161716,,0.0,hqq
layer,14,3.6038365,,0.0,hqq
layer,15,3.5901718,,0.0,hqq
layer,16,3.5440278,,0.0,hqq
layer,17,3.5689957,,0.0,hqq
layer,18,3.5489755,,0.0,hqq
layer,19,3.4174662,,0.0,hqq
layer,20,3.4614778,,0.0,hqq
layer,21,3.3503408,,0.0,hqq
layer,22,3.0542006,,0.0,hqq
layer,23,2.9477944,,0.0,hqq
layer,24,2.8226423,,0.0,hqq
layer,25,2.9554622,,0.0,hqq
layer,26,2.8325176,,0.0,hqq
layer,27,2.6999602,,0.0,hqq
layer,28,2.59653,,0.0,hqq
layer,29,1.8662626,,0.0,hqq
layer,30,1.4697163,,0.28125,hqq
layer,31,1.0560834,,0.40625,hqq
layer,32,0.77286625,,0.75,hqq
layer,33,0.44612315,,1.0,hqq
layer,34,0.40817332,,1.0,hqq
layer,35,0.20125201,,1.0,hqq
global,-1,3.6254086,2.384185791015625e-07,0.0,int4
layer,0,3.625409,,0.0,int4
layer,1,3.625409,,0.0,int4
layer,2,3.625409,,0.0,int4
layer,3,3.625409,,0.0,int4
layer,4,3.625409,,0.0,int4
layer,5,3.625409,,0.0,int4
layer,6,3.625409,,0.0,int4
layer,7,3.625409,,0.0,int4
layer,8,3.625409,,0.0,int4
layer,9,3.625409,,0.0,int4
layer,10,3.625409,,0.0,int4
layer,11,3.625409,,0.0,int4
layer,12,3.625409,,0.0,int4
layer,13,3.625409,,0.0,int4
layer,14,3.625409,,0.0,int4
layer,15,3.625409,,0.0,int4
layer,16,3.625409,,0.0,int4
layer,17,3.625409,,0.0,int4
layer,18,3.625409,,0.0,int4
layer,19,3.625409,,0.0,int4
layer,20,3.625409,,0.0,int4
layer,21,3.625409,,0.0,int4
layer,22,3.625409,,0.0,int4
layer,23,3.625409,,0.0,int4
layer,24,3.625409,,0.0,int4
layer,25,3.625409,,0.0,int4
layer,26,3.625409,,0.0,int4
layer,27,3.625409,,0.0,int4
layer,28,3.625409,,0.0,int4
layer,29,3.625409,,0.0,int4
layer,30,3.625409,,0.0,int4
layer,31,3.625409,,0.0,int4
layer,32,3.625409,,0.0,int4
layer,33,3.625409,,0.0,int4
layer,34,3.625409,,0.0,int4
layer,35,3.625409,,0.0,int4
global,-1,3.6254086,2.384185791015625e-07,0.0,int8
layer,0,3.625409,,0.0,int8
layer,1,3.625409,,0.0,int8
layer,2,3.625409,,0.0,int8
layer,3,3.625409,,0.0,int8
layer,4,3.625409,,0.0,int8
layer,5,3.625409,,0.0,int8
layer,6,3.625409,,0.0,int8
layer,7,3.625409,,0.0,int8
layer,8,3.625409,,0.0,int8
layer,9,3.625409,,0.0,int8
layer,10,3.625409,,0.0,int8
layer,11,3.625409,,0.0,int8
layer,12,3.625409,,0.0,int8
layer,13,3.625409,,0.0,int8
layer,14,3.625409,,0.0,int8
layer,15,3.625409,,0.0,int8
layer,16,3.625409,,0.0,int8
layer,17,3.625409,,0.0,int8
layer,18,3.625409,,0.0,int8
layer,19,3.625409,,0.0,int8
layer,20,3.625409,,0.0,int8
layer,21,3.625409,,0.0,int8
layer,22,3.625409,,0.0,int8
layer,23,3.625409,,0.0,int8
layer,24,3.625409,,0.0,int8
layer,25,3.625409,,0.0,int8
layer,26,3.625409,,0.0,int8
layer,27,3.625409,,0.0,int8
layer,28,3.625409,,0.0,int8
layer,29,3.625409,,0.0,int8
layer,30,3.625409,,0.0,int8
layer,31,3.625409,,0.0,int8
layer,32,3.625409,,0.0,int8
layer,33,3.625409,,0.0,int8
layer,34,3.625409,,0.0,int8
layer,35,3.625409,,0.0,int8
