layer,kl_mean,kl_std,method
0,0.0015646386,0.0010477994,fp8
1,0.0027946772,0.0018966006,fp8
2,0.003988677,0.0027477844,fp8
3,0.005837816,0.0040692636,fp8
4,0.0067834104,0.004514782,fp8
5,0.0081006875,0.005261703,fp8
6,0.009432429,0.0062721903,fp8
7,0.009784947,0.0069384677,fp8
8,0.01122923,0.009985359,fp8
9,0.011683025,0.008551018,fp8
10,0.012440638,0.009356806,fp8
11,0.013389959,0.010341022,fp8
12,0.011401667,0.009577319,fp8
13,0.011198844,0.008906066,fp8
14,0.01086152,0.009188499,fp8
15,0.009773871,0.008318532,fp8
16,0.009169151,0.012423186,fp8
17,0.009255261,0.015053332,fp8
18,0.009360642,0.01530618,fp8
19,0.009303021,0.017940417,fp8
20,0.009733781,0.024195977,fp8
21,0.011047169,0.033524413,fp8
22,0.012019866,0.042408634,fp8
23,0.013019166,0.052494008,fp8
24,0.013354635,0.046884283,fp8
25,0.013844249,0.07071035,fp8
26,0.014133416,0.051627096,fp8
27,0.013298711,0.03366152,fp8
28,0.013649363,0.03870473,fp8
29,0.014007654,0.050267458,fp8
30,0.01093518,0.020382827,fp8
31,0.007856475,0.017037498,fp8
0,0.02560576,0.018561749,int4
1,0.045211356,0.030454684,int4
2,0.069412135,0.049044825,int4
3,0.101290904,0.06798739,int4
4,0.12664783,0.08943779,int4
5,0.14034006,0.09799023,int4
6,0.15055136,0.101651505,int4
7,0.15245216,0.10059521,int4
8,0.15996698,0.111527495,int4
9,0.16802269,0.11440687,int4
10,0.17325391,0.12836394,int4
11,0.185599,0.13907787,int4
12,0.15964249,0.12894598,int4
13,0.15289506,0.1268703,int4
14,0.14737064,0.12491814,int4
15,0.13668664,0.12080958,int4
16,0.12775536,0.11081659,int4
17,0.1252794,0.15417902,int4
18,0.12726438,0.16746044,int4
19,0.13283117,0.2634955,int4
20,0.13848963,0.25333038,int4
21,0.14762951,0.2541259,int4
22,0.15823755,0.2751373,int4
23,0.17084317,0.29177445,int4
24,0.17743255,0.3655165,int4
25,0.17932966,0.3494496,int4
26,0.18153545,0.31459105,int4
27,0.17168704,0.26122984,int4
28,0.17594454,0.32600293,int4
29,0.17694452,0.44551516,int4
30,0.14493851,0.2430286,int4
31,0.099569835,0.18441315,int4
0,6.1368926e-05,0.000109036344,float16
1,0.0002149322,0.00020590251,float16
2,0.0003400297,0.00026265753,float16
3,0.00043666284,0.00030369812,float16
4,0.000498368,0.00032829828,float16
5,0.000566374,0.00036917801,float16
6,0.00061951845,0.00038840226,float16
7,0.00068247336,0.00044338303,float16
8,0.00071847916,0.00045261192,float16
9,0.0007427795,0.00048006838,float16
10,0.0008067925,0.000535618,float16
11,0.0008464408,0.0005805387,float16
12,0.0007964543,0.0006002461,float16
13,0.00077202305,0.0006331046,float16
14,0.00079064537,0.0008240194,float16
15,0.0007163329,0.0005683554,float16
16,0.00069464336,0.0010415018,float16
17,0.0007134769,0.0015713036,float16
18,0.00070705713,0.0015903534,float16
19,0.0007135169,0.0016219812,float16
20,0.00075787026,0.0030826086,float16
21,0.00086613355,0.005370263,float16
22,0.0008650011,0.0045002643,float16
23,0.0009588979,0.0066297343,float16
24,0.0009329071,0.003977501,float16
25,0.0010273275,0.00697107,float16
26,0.0010381902,0.0053208075,float16
27,0.00091995427,0.0021109213,float16
28,0.00093411206,0.002224117,float16
29,0.0008730377,0.0020703778,float16
30,0.000785479,0.0017932584,float16
31,0.000656904,0.0010017985,float16
0,0.00079441105,0.00051205856,int8
1,0.0014048476,0.00092730025,int8
2,0.0029452275,0.0019170585,int8
3,0.004578934,0.0030111426,int8
4,0.0052799922,0.003474274,int8
5,0.005795529,0.0039629876,int8
6,0.005842659,0.0039639827,int8
7,0.0061370083,0.0043427274,int8
8,0.006390219,0.005307889,int8
9,0.0064266864,0.0049932785,int8
10,0.0065688053,0.005105122,int8
11,0.006971178,0.0061610555,int8
12,0.005898116,0.0057913125,int8
13,0.005686064,0.005792512,int8
14,0.0053167064,0.004849045,int8
15,0.0049790903,0.0065814047,int8
16,0.004609881,0.0051306877,int8
17,0.0046334253,0.0063375435,int8
18,0.004716966,0.007968867,int8
19,0.004907824,0.0074203233,int8
20,0.0052633127,0.011615789,int8
21,0.005909249,0.01841902,int8
22,0.006467188,0.019513097,int8
23,0.0076892325,0.041243903,int8
24,0.0070139803,0.017847707,int8
25,0.007141703,0.021086859,int8
26,0.007439795,0.021942433,int8
27,0.006890148,0.013394079,int8
28,0.007317713,0.01368838,int8
29,0.0075328695,0.017216364,int8
30,0.006407351,0.016305385,int8
31,0.004507628,0.011022505,int8
0,0.11457575,0.08130676,gptq
1,0.13247988,0.08749554,gptq
2,0.16339873,0.12240771,gptq
3,0.19115016,0.14122246,gptq
4,0.2104508,0.16102141,gptq
5,0.2168144,0.1590586,gptq
6,0.2261981,0.15934175,gptq
7,0.23104122,0.1678859,gptq
8,0.23763527,0.17300576,gptq
9,0.23716246,0.17874143,gptq
10,0.24699187,0.18113518,gptq
11,0.24974605,0.19678494,gptq
12,0.21716933,0.17943646,gptq
13,0.20146678,0.16381039,gptq
14,0.19157052,0.15549517,gptq
15,0.17591472,0.14588486,gptq
16,0.16730486,0.15280052,gptq
17,0.16396452,0.16325442,gptq
18,0.16716404,0.18554084,gptq
19,0.16725837,0.19662873,gptq
20,0.17169301,0.21126653,gptq
21,0.18256436,0.27286607,gptq
22,0.19467859,0.3036585,gptq
23,0.21061972,0.35986453,gptq
24,0.22445801,0.41496903,gptq
25,0.23931654,0.42453924,gptq
26,0.2494494,0.41241786,gptq
27,0.24584769,0.5687867,gptq
28,0.24179038,0.3958124,gptq
29,0.2499902,0.7088248,gptq
30,0.19221526,0.37231272,gptq
31,0.13842683,0.25905362,gptq
0,0.01888047531247139,0.013647285290062428,awq
1,0.03555184230208397,0.02488018199801445,awq
2,0.05531999468803406,0.038765501230955124,awq
3,0.08368154615163803,0.05632537975907326,awq
4,0.10574380308389664,0.07013677805662155,awq
5,0.12271931767463684,0.08178257942199707,awq
6,0.13784164190292358,0.08952328562736511,awq
7,0.14919066429138184,0.09878898411989212,awq
8,0.1610470712184906,0.11712341010570526,awq
9,0.16315360367298126,0.11185891181230545,awq
10,0.17349869012832642,0.12147529423236847,awq
11,0.18482369184494019,0.13629548251628876,awq
12,0.15774394571781158,0.11712352186441422,awq
13,0.15431006252765656,0.11370959877967834,awq
14,0.14708852767944336,0.1093934029340744,awq
15,0.13290250301361084,0.10499013215303421,awq
16,0.12542366981506348,0.1093071922659874,awq
17,0.12296698242425919,0.12397795170545578,awq
18,0.12402506917715073,0.1443859338760376,awq
19,0.1267482042312622,0.1506325751543045,awq
20,0.13397863507270813,0.17482370138168335,awq
21,0.14055298268795013,0.19826066493988037,awq
22,0.14875826239585876,0.19875766336917877,awq
23,0.16894406080245972,0.28582754731178284,awq
24,0.1760011464357376,0.30387234687805176,awq
25,0.18278183043003082,0.32992085814476013,awq
26,0.18603253364562988,0.35956305265426636,awq
27,0.1817796528339386,0.30582812428474426,awq
28,0.1853313148021698,0.2799208164215088,awq
29,0.18693605065345764,0.4007718861103058,awq
30,0.15454509854316711,0.2190493941307068,awq
31,0.10688784718513489,0.18913228809833527,awq
0,0.030546309426426888,0.021594416350126266,hqq
1,0.0546933189034462,0.035115569829940796,hqq
2,0.0954182967543602,0.06498336791992188,hqq
3,0.15533213317394257,0.10389801114797592,hqq
4,0.19502589106559753,0.1339268684387207,hqq
5,0.20606718957424164,0.1422646939754486,hqq
6,0.21267041563987732,0.14256083965301514,hqq
7,0.22023914754390717,0.14794500172138214,hqq
8,0.22718565165996552,0.16102734208106995,hqq
9,0.2261386513710022,0.16168911755084991,hqq
10,0.23214085400104523,0.17357881367206573,hqq
11,0.24114184081554413,0.18097124993801117,hqq
12,0.20465368032455444,0.14953529834747314,hqq
13,0.19866332411766052,0.1634874790906906,hqq
14,0.19035546481609344,0.155146524310112,hqq
15,0.1761266440153122,0.15154728293418884,hqq
16,0.16506654024124146,0.15101157128810883,hqq
17,0.16357487440109253,0.16012656688690186,hqq
18,0.16511398553848267,0.1776123046875,hqq
19,0.16831117868423462,0.2080395519733429,hqq
20,0.17743924260139465,0.24616886675357819,hqq
21,0.19283650815486908,0.3059989809989929,hqq
22,0.1957671344280243,0.2997925877571106,hqq
23,0.21966733038425446,0.3861123025417328,hqq
24,0.2319762110710144,0.38582417368888855,hqq
25,0.2275383621454239,0.35096150636672974,hqq
26,0.22721052169799805,0.3429993987083435,hqq
27,0.2325376272201538,0.32781076431274414,hqq
28,0.2384251058101654,0.3002634346485138,hqq
29,0.22932234406471252,0.40482690930366516,hqq
30,0.20098845660686493,0.27620717883110046,hqq
31,0.14079031348228455,0.22329898178577423,hqq
