scope,layer,mean,std,low_entropy_frac,method
global,-1,1.4322194,0.6600554585456848,0.2919921875,bfloat16
layer,0,1.1400757,,0.46875,bfloat16
layer,1,0.6097156,,0.9375,bfloat16
layer,2,0.5001932,,0.9375,bfloat16
layer,3,1.0857165,,0.4375,bfloat16
layer,4,0.96012896,,0.5625,bfloat16
layer,5,1.0135703,,0.5625,bfloat16
layer,6,1.772892,,0.0,bfloat16
layer,7,1.8916571,,0.0,bfloat16
layer,8,1.9199129,,0.03125,bfloat16
layer,9,1.4930403,,0.03125,bfloat16
layer,10,1.8654933,,0.0,bfloat16
layer,11,2.0857656,,0.0,bfloat16
layer,12,2.327999,,0.0,bfloat16
layer,13,1.7016323,,0.03125,bfloat16
layer,14,2.0557408,,0.0,bfloat16
layer,15,1.6735849,,0.125,bfloat16
layer,16,1.1897801,,0.25,bfloat16
layer,17,1.8534386,,0.0,bfloat16
layer,18,1.1608711,,0.34375,bfloat16
layer,19,1.5526841,,0.0,bfloat16
layer,20,0.72176707,,0.90625,bfloat16
layer,21,1.4495962,,0.09375,bfloat16
layer,22,1.2648671,,0.09375,bfloat16
layer,23,0.6621523,,1.0,bfloat16
layer,24,1.2522179,,0.125,bfloat16
layer,25,1.3334273,,0.0625,bfloat16
layer,26,0.8434942,,0.75,bfloat16
layer,27,0.8558516,,0.78125,bfloat16
layer,28,0.96164066,,0.75,bfloat16
layer,29,1.6278328,,0.0625,bfloat16
layer,30,2.1969926,,0.0,bfloat16
layer,31,2.8072891,,0.0,bfloat16
global,-1,1.4439427,0.6489164233207703,0.291015625,awq
layer,0,1.1557151,,0.46875,awq
layer,1,0.6166874,,0.9375,awq
layer,2,0.5401183,,0.9375,awq
layer,3,1.0314331,,0.5,awq
layer,4,0.97674584,,0.5625,awq
layer,5,0.95301086,,0.71875,awq
layer,6,1.7437606,,0.0,awq
layer,7,1.8441337,,0.0,awq
layer,8,1.895306,,0.03125,awq
layer,9,1.4306458,,0.03125,awq
layer,10,1.8882377,,0.0,awq
layer,11,2.1049652,,0.0,awq
layer,12,2.3203797,,0.0,awq
layer,13,1.8276268,,0.0,awq
layer,14,2.0880718,,0.0,awq
layer,15,1.7336171,,0.125,awq
layer,16,1.2088304,,0.28125,awq
layer,17,1.8240285,,0.0,awq
layer,18,1.1882277,,0.3125,awq
layer,19,1.479037,,0.0625,awq
layer,20,0.8563482,,0.78125,awq
layer,21,1.4660971,,0.09375,awq
layer,22,1.3543642,,0.09375,awq
layer,23,0.66723424,,1.0,awq
layer,24,1.2727678,,0.125,awq
layer,25,1.3266623,,0.09375,awq
layer,26,0.91896737,,0.6875,awq
layer,27,0.9279866,,0.6875,awq
layer,28,0.97394955,,0.71875,awq
layer,29,1.6675873,,0.0625,awq
layer,30,2.1613433,,0.0,awq
layer,31,2.7622788,,0.0,awq
global,-1,1.4469976,0.6705339550971985,0.2978515625,hqq
layer,0,1.1361783,,0.46875,hqq
layer,1,0.6266386,,0.875,hqq
layer,2,0.54781544,,0.90625,hqq
layer,3,0.9538306,,0.625,hqq
layer,4,0.92451805,,0.625,hqq
layer,5,0.9823258,,0.71875,hqq
layer,6,1.7985221,,0.0,hqq
layer,7,1.9197536,,0.0,hqq
layer,8,1.8707087,,0.03125,hqq
layer,9,1.5200965,,0.03125,hqq
layer,10,1.9710157,,0.0,hqq
layer,11,2.1292682,,0.0,hqq
layer,12,2.3346002,,0.0,hqq
layer,13,1.8646736,,0.0,hqq
layer,14,2.1024747,,0.0,hqq
layer,15,1.7005401,,0.125,hqq
layer,16,1.1447923,,0.28125,hqq
layer,17,1.8616292,,0.0,hqq
layer,18,1.2090931,,0.3125,hqq
layer,19,1.4652894,,0.0625,hqq
layer,20,0.80088234,,0.8125,hqq
layer,21,1.4348326,,0.125,hqq
layer,22,1.3005764,,0.125,hqq
layer,23,0.6200953,,1.0,hqq
layer,24,1.2821716,,0.125,hqq
layer,25,1.3750436,,0.0625,hqq
layer,26,0.8916626,,0.71875,hqq
layer,27,0.89779675,,0.71875,hqq
layer,28,0.94585705,,0.71875,hqq
layer,29,1.6508744,,0.0625,hqq
layer,30,2.203668,,0.0,hqq
layer,31,2.8366985,,0.0,hqq
global,-1,1.4291447,0.6601453423500061,0.2919921875,fp8
layer,0,1.1424352,,0.46875,fp8
layer,1,0.6132366,,0.90625,fp8
layer,2,0.502473,,0.9375,fp8
layer,3,1.081075,,0.40625,fp8
layer,4,0.9634191,,0.59375,fp8
layer,5,0.9981117,,0.5625,fp8
layer,6,1.7789676,,0.0,fp8
layer,7,1.8983945,,0.0,fp8
layer,8,1.9353749,,0.03125,fp8
layer,9,1.4776354,,0.03125,fp8
layer,10,1.8609561,,0.0,fp8
layer,11,2.0926576,,0.0,fp8
layer,12,2.3080451,,0.0,fp8
layer,13,1.6918228,,0.03125,fp8
layer,14,2.0428274,,0.0,fp8
layer,15,1.6783273,,0.125,fp8
layer,16,1.2063425,,0.25,fp8
layer,17,1.8462498,,0.0,fp8
layer,18,1.1441904,,0.34375,fp8
layer,19,1.542861,,0.0,fp8
layer,20,0.7179656,,0.90625,fp8
layer,21,1.4526875,,0.09375,fp8
layer,22,1.2300861,,0.125,fp8
layer,23,0.6412175,,1.0,fp8
