layer,kl_mean,kl_std,method
0,0.0032089555,0.0045387605,fp8
1,0.0031041303,0.003184877,fp8
2,0.0038067403,0.0035331754,fp8
3,0.0045618564,0.004362157,fp8
4,0.0052714567,0.0047628717,fp8
5,0.0065158373,0.0056708823,fp8
6,0.0069549377,0.006757096,fp8
7,0.0072443173,0.00677102,fp8
8,0.0080369245,0.00797045,fp8
9,0.009135688,0.009595036,fp8
10,0.010123448,0.0099478895,fp8
11,0.010698985,0.0109514315,fp8
12,0.010698967,0.011312723,fp8
13,0.011233072,0.011406706,fp8
14,0.01211228,0.012354218,fp8
15,0.011640003,0.0127187725,fp8
16,0.011526717,0.012882338,fp8
17,0.01160209,0.0155609455,fp8
18,0.01131353,0.015200165,fp8
19,0.012678956,0.027411021,fp8
20,0.013117612,0.019216398,fp8
21,0.0117495665,0.01858575,fp8
22,0.011469306,0.016773563,fp8
23,0.013723269,0.04574669,fp8
24,0.014005422,0.057388976,fp8
25,0.014334347,0.039852608,fp8
26,0.01230167,0.030203125,fp8
27,0.010325427,0.017371332,fp8
0,0.03261108,0.028831664,int4
1,0.03936985,0.032740943,int4
2,0.049617052,0.042143255,int4
3,0.061603148,0.05229337,int4
4,0.0723028,0.06558777,int4
5,0.087870784,0.074802615,int4
6,0.09877147,0.093056515,int4
7,0.09951422,0.09322835,int4
8,0.10950571,0.10516568,int4
9,0.119923115,0.12063327,int4
10,0.12908456,0.123826146,int4
11,0.13247222,0.12811765,int4
12,0.13856266,0.13427371,int4
13,0.14158648,0.1327536,int4
14,0.15001668,0.13951674,int4
15,0.14235373,0.13728566,int4
16,0.1451162,0.13933975,int4
17,0.14537996,0.1533382,int4
18,0.14735688,0.1492486,int4
19,0.16957982,0.20551293,int4
20,0.1768356,0.20288947,int4
21,0.15383314,0.18226272,int4
22,0.15285192,0.20643039,int4
23,0.17283258,0.25039625,int4
24,0.17255469,0.2514763,int4
25,0.18188266,0.2553554,int4
26,0.15247287,0.23846501,int4
27,0.1359571,0.20667022,int4
0,1.4732699e-06,1.9724235e-05,float16
1,5.671609e-05,0.00013334992,float16
2,0.00013255204,0.00021613648,float16
3,0.0001917114,0.00025994863,float16
4,0.00025137863,0.00029366266,float16
5,0.00032050666,0.00034675715,float16
6,0.00033646374,0.00035384565,float16
7,0.00037489622,0.0003683272,float16
8,0.00040622058,0.0004300278,float16
9,0.00044884149,0.00045334606,float16
10,0.00047108234,0.00046411992,float16
11,0.000500201,0.00050527044,float16
12,0.00050661084,0.0004917939,float16
13,0.00053137203,0.0004930201,float16
14,0.00056830276,0.00054066296,float16
15,0.0005680473,0.00054423907,float16
16,0.00059134327,0.0006013251,float16
17,0.0005625431,0.0005302967,float16
18,0.000538368,0.00050083926,float16
19,0.0005771631,0.00064998306,float16
20,0.0006048794,0.0006384559,float16
21,0.00051546283,0.00054358033,float16
22,0.000530339,0.00060665136,float16
23,0.00055423466,0.000699574,float16
24,0.0005375917,0.0007232642,float16
25,0.00056555215,0.00075086654,float16
26,0.0005299474,0.00064999104,float16
27,0.000671825,0.0010119213,float16
0,0.020756396,0.0750632,int8
1,0.018659318,0.06912695,int8
2,0.020511344,0.07499744,int8
3,0.020082239,0.080621935,int8
4,0.018966777,0.06700478,int8
5,0.020143906,0.06851001,int8
6,0.018892681,0.059828024,int8
7,0.018383333,0.062805906,int8
8,0.018322848,0.049504485,int8
9,0.018730482,0.04195538,int8
10,0.020205071,0.05228972,int8
11,0.021824853,0.06011734,int8
12,0.021064783,0.051368922,int8
13,0.021224119,0.052698553,int8
14,0.02216229,0.053116415,int8
15,0.020338967,0.051410362,int8
16,0.02078127,0.054483447,int8
17,0.02032055,0.05661905,int8
18,0.019758796,0.059265252,int8
19,0.020337196,0.044670187,int8
20,0.02114861,0.04863442,int8
21,0.01923793,0.054758977,int8
22,0.017001146,0.04560058,int8
23,0.018381344,0.038765844,int8
24,0.02007328,0.06359787,int8
25,0.019845515,0.04312626,int8
26,0.01698147,0.039451886,int8
27,0.016884852,0.04999235,int8
0,0.02781595,0.032987297,gptq
1,0.026539579,0.026031608,gptq
2,0.041546375,0.039713107,gptq
3,0.053472906,0.05131804,gptq
4,0.06793027,0.06168585,gptq
5,0.078799605,0.07330274,gptq
6,0.08908231,0.08560981,gptq
7,0.096345775,0.09756013,gptq
8,0.102951124,0.10294907,gptq
9,0.1182751,0.116622955,gptq
10,0.12587245,0.12646332,gptq
11,0.12991358,0.12486316,gptq
12,0.13324688,0.13020772,gptq
13,0.13382158,0.12599015,gptq
14,0.14492065,0.13515952,gptq
15,0.13386655,0.124775454,gptq
16,0.13499235,0.12813543,gptq
17,0.13012128,0.12728454,gptq
18,0.12994765,0.13937388,gptq
19,0.1416014,0.16192473,gptq
20,0.1504745,0.16823629,gptq
21,0.13492966,0.155541,gptq
22,0.13765575,0.1799667,gptq
23,0.1557248,0.22296111,gptq
24,0.14881933,0.21147661,gptq
25,0.15184572,0.20599277,gptq
26,0.13788873,0.18270098,gptq
27,0.12977642,0.21304749,gptq
0,0.0477903299033641,0.0700498819351196,awq
1,0.0481635779142379,0.0632582902908325,awq
2,0.0578743629157543,0.0759539678692817,awq
3,0.0661745518445968,0.0753052681684494,awq
4,0.0803443044424057,0.0763468593358993,awq
5,0.0954099521040916,0.0986100360751152,awq
6,0.0968525633215904,0.0971308425068855,awq
7,0.1041849851608276,0.103929579257965,awq
8,0.1135428771376609,0.125971183180809,awq
9,0.1229003071784973,0.1216650977730751,awq
10,0.135930597782135,0.1367573887109756,awq
11,0.1399379819631576,0.1386714726686477,awq
12,0.1365163773298263,0.1279876083135604,awq
13,0.1457799524068832,0.1285235434770584,awq
14,0.1588602811098098,0.1471153348684311,awq
15,0.1505088657140731,0.1470073610544204,awq
16,0.1507468670606613,0.147987425327301,awq
17,0.1499025672674179,0.1517413556575775,awq
18,0.1496434360742569,0.1681519001722335,awq
19,0.1674207150936126,0.2063128352165222,awq
20,0.1698490232229232,0.2196868062019348,awq
21,0.1546097695827484,0.1962581276893615,awq
22,0.1572216004133224,0.2244861721992492,awq
23,0.1736890524625778,0.263957142829895,awq
24,0.1685712486505508,0.2716221213340759,awq
25,0.17517951130867,0.2605072557926178,awq
26,0.1521654427051544,0.2250514328479766,awq
27,0.1502265930175781,0.259805679321289,awq
0,0.03695393353700638,0.042201150208711624,hqq
1,0.04691627249121666,0.04259352758526802,hqq
2,0.05739682912826538,0.05292321741580963,hqq
3,0.06923006474971771,0.06965406239032745,hqq
4,0.08058352023363113,0.0695512443780899,hqq
5,0.08927444368600845,0.07647077739238739,hqq
6,0.09468583017587662,0.08617208153009415,hqq
7,0.10089723020792007,0.09054771810770035,hqq
8,0.10856935381889343,0.0988200381398201,hqq
9,0.12356054782867432,0.11888081580400467,hqq
10,0.1298884153366089,0.11857043951749802,hqq
11,0.13682350516319275,0.13008402287960052,hqq
12,0.13726884126663208,0.1357065886259079,hqq
13,0.13960926234722137,0.13588276505470276,hqq
14,0.1520969122648239,0.15405088663101196,hqq
15,0.14372751116752625,0.14345525205135345,hqq
16,0.14814555644989014,0.1480105221271515,hqq
17,0.14340150356292725,0.141696497797966,hqq
18,0.1392059475183487,0.1472957730293274,hqq
19,0.15751276910305023,0.17656442523002625,hqq
20,0.17068906128406525,0.19168482720851898,hqq
21,0.16015468537807465,0.18858173489570618,hqq
22,0.15702711045742035,0.20991434156894684,hqq
23,0.1787344515323639,0.24321483075618744,hqq
24,0.18009977042675018,0.25709792971611023,hqq
25,0.20828106999397278,0.27125269174575806,hqq
26,0.1688961237668991,0.21148920059204102,hqq
27,0.1452738493680954,0.21183352172374725,hqq
