scope,layer,mean,std,low_entropy_frac,method
global,-1,1.7773664,0.6504184603691101,0.1130952380952381,bfloat16
layer,0,1.1773618,,0.5,bfloat16
layer,1,2.5335946,,0.08333333333333333,bfloat16
layer,2,1.5957435,,0.16666666666666666,bfloat16
layer,3,2.3578224,,0.0,bfloat16
layer,4,1.4866905,,0.08333333333333333,bfloat16
layer,5,1.6929318,,0.16666666666666666,bfloat16
layer,6,1.2995574,,0.3333333333333333,bfloat16
layer,7,2.303805,,0.08333333333333333,bfloat16
layer,8,1.5882777,,0.16666666666666666,bfloat16
layer,9,1.7693363,,0.08333333333333333,bfloat16
layer,10,1.8665577,,0.0,bfloat16
layer,11,2.099148,,0.0,bfloat16
layer,12,1.5086254,,0.16666666666666666,bfloat16
layer,13,2.1818943,,0.08333333333333333,bfloat16
layer,14,1.5168728,,0.25,bfloat16
layer,15,2.1099892,,0.08333333333333333,bfloat16
layer,16,1.9741553,,0.0,bfloat16
layer,17,2.0313597,,0.0,bfloat16
layer,18,2.2198002,,0.0,bfloat16
layer,19,1.5917987,,0.16666666666666666,bfloat16
layer,20,1.8041829,,0.0,bfloat16
layer,21,1.9179674,,0.0,bfloat16
layer,22,1.7817329,,0.08333333333333333,bfloat16
layer,23,1.0818319,,0.4166666666666667,bfloat16
layer,24,1.4061099,,0.16666666666666666,bfloat16
layer,25,1.3560805,,0.08333333333333333,bfloat16
layer,26,1.5093933,,0.0,bfloat16
layer,27,2.0036392,,0.0,bfloat16
global,-1,1.8045456,0.6445993185043335,0.10416666666666667,awq
layer,0,1.1849254,,0.5,awq
layer,1,2.5358043,,0.08333333333333333,awq
layer,2,1.5882449,,0.16666666666666666,awq
layer,3,2.4011064,,0.0,awq
layer,4,1.5111781,,0.08333333333333333,awq
layer,5,1.7112881,,0.16666666666666666,awq
layer,6,1.3003829,,0.3333333333333333,awq
layer,7,2.314265,,0.08333333333333333,awq
layer,8,1.6031672,,0.16666666666666666,awq
layer,9,1.826653,,0.08333333333333333,awq
layer,10,1.896001,,0.0,awq
layer,11,2.1113758,,0.0,awq
layer,12,1.521633,,0.16666666666666666,awq
layer,13,2.1687157,,0.08333333333333333,awq
layer,14,1.556764,,0.16666666666666666,awq
layer,15,2.079519,,0.08333333333333333,awq
layer,16,2.0210755,,0.0,awq
layer,17,2.0456002,,0.0,awq
layer,18,2.2366416,,0.08333333333333333,awq
layer,19,1.6439215,,0.16666666666666666,awq
layer,20,1.7998098,,0.0,awq
layer,21,2.012196,,0.0,awq
layer,22,1.7901835,,0.08333333333333333,awq
layer,23,1.127773,,0.3333333333333333,awq
layer,24,1.424571,,0.08333333333333333,awq
layer,25,1.4114686,,0.0,awq
layer,26,1.574967,,0.0,awq
layer,27,2.1280453,,0.0,awq
global,-1,1.7825866,0.6583637595176697,0.11904761904761904,hqq
layer,0,1.1828698,,0.5,hqq
layer,1,2.5327733,,0.08333333333333333,hqq
layer,2,1.573219,,0.16666666666666666,hqq
layer,3,2.3590305,,0.0,hqq
