layer,kl_mean,kl_std,method
0,0.001284756,0.0009037525,fp8
1,0.0011424012,0.00081730186,fp8
2,0.0011562026,0.0008134543,fp8
3,0.0012252304,0.00087817403,fp8
4,0.0012920019,0.001000897,fp8
5,0.0015068057,0.0014005855,fp8
6,0.0016278508,0.0018284012,fp8
7,0.001850567,0.0016188694,fp8
8,0.0019855096,0.0015149289,fp8
9,0.0020689762,0.0016559149,fp8
10,0.0021648244,0.0017396676,fp8
11,0.0023248803,0.0018371675,fp8
12,0.0025487782,0.002101832,fp8
13,0.00271591,0.0021695723,fp8
14,0.0029029257,0.002288571,fp8
15,0.0031189586,0.0025746194,fp8
16,0.003217142,0.002669037,fp8
17,0.0033462476,0.0026750923,fp8
18,0.0035025608,0.0029022878,fp8
19,0.0035389238,0.0029020298,fp8
20,0.0036656477,0.0030210097,fp8
21,0.0036818106,0.0029840176,fp8
22,0.0038051994,0.0031710116,fp8
23,0.00383353,0.0038011814,fp8
24,0.0038996672,0.004275358,fp8
25,0.004045541,0.004120155,fp8
26,0.0041995966,0.0046399273,fp8
27,0.004350886,0.0042118607,fp8
28,0.004469731,0.003961238,fp8
29,0.004466444,0.004388301,fp8
30,0.004617123,0.004682118,fp8
31,0.0046515567,0.004445027,fp8
32,0.004437758,0.004538545,fp8
33,0.0044141053,0.004228944,fp8
34,0.0044816965,0.003750508,fp8
35,0.004560073,0.004834372,fp8
36,0.0045321267,0.0049125995,fp8
37,0.004653961,0.00622423,fp8
38,0.0048129084,0.0070873,fp8
39,0.004801852,0.008322691,fp8
40,0.0047957627,0.011972443,fp8
41,0.0051285657,0.011680575,fp8
42,0.0053433594,0.013191615,fp8
43,0.005248445,0.0114045795,fp8
44,0.0045315777,0.009202805,fp8
45,0.0044883643,0.0068693715,fp8
46,0.004717182,0.015504754,fp8
47,0.005018878,0.025316369,fp8
48,0.0057074092,0.040172856,fp8
49,0.00695893,0.07099731,fp8
50,0.00684614,0.068098135,fp8
51,0.007489176,0.10535074,fp8
52,0.00816697,0.12010607,fp8
53,0.0056596515,0.019886216,fp8
54,0.009251641,0.15136532,fp8
55,0.0068659396,0.04143624,fp8
56,0.009703178,0.14244847,fp8
57,0.008581784,0.07651838,fp8
58,0.011696696,0.18957174,fp8
59,0.014002105,0.27909246,fp8
60,0.014309839,0.23410694,fp8
61,0.008140923,0.098098285,fp8
62,0.006909453,0.11133421,fp8
63,0.004431813,0.03641051,fp8
0,0.012871106,0.009218413,int4
1,0.010382241,0.0074255797,int4
2,0.0095884185,0.0072968504,int4
3,0.01121136,0.0085230945,int4
4,0.011744918,0.011920404,int4
5,0.015627226,0.038848273,int4
6,0.017630981,0.037797213,int4
7,0.021944541,0.038511865,int4
8,0.0237012,0.038629852,int4
9,0.023464594,0.034510233,int4
10,0.0243143,0.037965342,int4
11,0.026174838,0.04005957,int4
12,0.03010897,0.044229392,int4
13,0.031635728,0.03101541,int4
14,0.032753058,0.030604497,int4
15,0.03431524,0.029738221,int4
16,0.036200095,0.03191726,int4
17,0.03741541,0.033486973,int4
18,0.039431997,0.034830045,int4
19,0.039732143,0.034199275,int4
20,0.040169213,0.03389287,int4
21,0.04145852,0.0339382,int4
22,0.042301465,0.033824097,int4
23,0.043880858,0.035715982,int4
24,0.043699756,0.034752913,int4
25,0.045700733,0.035534192,int4
26,0.04737725,0.0360153,int4
27,0.048842534,0.037293155,int4
28,0.049112517,0.03725615,int4
29,0.0510826,0.040302295,int4
30,0.053123333,0.042116486,int4
31,0.054221094,0.047464475,int4
32,0.052094903,0.060544778,int4
33,0.050916303,0.04895497,int4
34,0.05035612,0.044197354,int4
35,0.050676435,0.04433234,int4
36,0.049960952,0.046299525,int4
37,0.051033873,0.052973416,int4
38,0.05155303,0.06237034,int4
39,0.049230434,0.050589018,int4
40,0.04752786,0.048247144,int4
41,0.051128574,0.054830372,int4
42,0.054128703,0.05959816,int4
43,0.052577384,0.05930961,int4
44,0.048188105,0.06172544,int4
45,0.048565283,0.06091089,int4
46,0.048853274,0.062010508,int4
47,0.048539303,0.074031405,int4
48,0.051198244,0.09571393,int4
49,0.05603615,0.12667465,int4
50,0.056019712,0.13027377,int4
51,0.05413095,0.12714958,int4
52,0.059189267,0.16633496,int4
53,0.06740932,0.2990761,int4
54,0.070181705,0.19431704,int4
55,0.07781512,0.32275096,int4
56,0.07551073,0.24085234,int4
57,0.07987,0.29207686,int4
58,0.07954319,0.21003029,int4
59,0.08102626,0.25441462,int4
60,0.0874078,0.27686268,int4
61,0.070020415,0.18614204,int4
62,0.03938324,0.090379275,int4
63,0.03342879,0.075670935,int4
0,1.1004335e-05,5.933382e-05,float16
1,5.8603557e-05,0.00012252446,float16
2,0.00011366472,0.00016138585,float16
3,0.00016712428,0.00020019506,float16
4,0.00020069443,0.00021791419,float16
5,0.0002419669,0.00023573282,float16
6,0.0002777084,0.00024014327,float16
7,0.00030775127,0.0002651202,float16
8,0.0003339792,0.00027961054,float16
9,0.0003475574,0.00027715805,float16
10,0.00035721035,0.0002869455,float16
11,0.00039186137,0.0003010679,float16
12,0.00042064599,0.0003266408,float16
13,0.00043814213,0.0003249193,float16
14,0.0004708999,0.0003677292,float16
15,0.0004920219,0.00037391364,float16
16,0.0004980532,0.00036961187,float16
17,0.00051812636,0.0003926204,float16
18,0.00056630676,0.00044009188,float16
19,0.00056837464,0.000430342,float16
20,0.00058599625,0.00043508413,float16
21,0.0006053903,0.00046992832,float16
22,0.00060337974,0.00045242414,float16
23,0.0006061125,0.00046649063,float16
24,0.0006015682,0.00043797444,float16
25,0.0006350598,0.00046883308,float16
26,0.0006404356,0.00045774571,float16
27,0.00068180484,0.00048033113,float16
28,0.00067555805,0.00052381854,float16
29,0.0006897886,0.00050528353,float16
30,0.0007080981,0.0005314021,float16
31,0.0007097658,0.0006105616,float16
32,0.0007072658,0.00086898386,float16
33,0.0006930287,0.0006634581,float16
34,0.00071117125,0.00063731294,float16
35,0.00072280964,0.0006311967,float16
36,0.00069962704,0.0006178558,float16
37,0.00074310775,0.0006999959,float16
38,0.00072625285,0.00068230485,float16
39,0.00069566147,0.0007982795,float16
40,0.00069175026,0.0008063946,float16
41,0.0007660482,0.0011056564,float16
42,0.0007571231,0.00090434635,float16
43,0.0007820317,0.0011314444,float16
44,0.00069546944,0.0008517837,float16
45,0.0007118328,0.0010843442,float16
46,0.000717546,0.0013357189,float16
47,0.0007256784,0.001759355,float16
48,0.0007229317,0.0017761976,float16
49,0.0008348881,0.0063583427,float16
50,0.0007420738,0.0014519928,float16
51,0.0008013974,0.0043779104,float16
52,0.0010976531,0.017067013,float16
53,0.00077948434,0.0020510836,float16
54,0.001371617,0.026390841,float16
55,0.0009766661,0.006685763,float16
56,0.0013740321,0.022946646,float16
57,0.001178746,0.012941382,float16
58,0.000907902,0.0029897569,float16
59,0.0010293028,0.0062118876,float16
60,0.0008397036,0.002085471,float16
61,0.00081063027,0.0033464553,float16
62,0.000521137,0.0019301786,float16
63,0.0006377956,0.0010192016,float16
0,0.0005950169,0.0004351108,int8
1,0.0005762038,0.0003942325,int8
2,0.0005778725,0.00041256024,int8
3,0.0005956796,0.00043690266,int8
4,0.0006058758,0.00044590028,int8
5,0.00076145044,0.0019924066,int8
6,0.0008480777,0.0027543523,int8
7,0.00092628883,0.0021575326,int8
8,0.0009835317,0.0009836993,int8
9,0.0009907794,0.0011491623,int8
10,0.0010208858,0.0009432183,int8
11,0.0010919396,0.0012014298,int8
12,0.0011599166,0.0010576183,int8
13,0.0012365587,0.0010299812,int8
14,0.0012867709,0.0010764953,int8
15,0.0013492736,0.0010657696,int8
16,0.0013985877,0.00105039,int8
17,0.0014371572,0.0010592382,int8
18,0.0015376456,0.0012288722,int8
19,0.0015668672,0.0011980024,int8
20,0.0016167841,0.0012810101,int8
21,0.0016456558,0.0013202805,int8
22,0.0016713523,0.0013148721,int8
23,0.0016906058,0.0012886318,int8
24,0.0017149026,0.0013299434,int8
25,0.0018524654,0.0014190607,int8
26,0.0018911404,0.0014389412,int8
27,0.0019552524,0.0014913231,int8
28,0.0019599206,0.0015022515,int8
29,0.0020114395,0.0015251907,int8
30,0.002084708,0.0016503519,int8
31,0.0021311056,0.0018768166,int8
32,0.0021318356,0.004507042,int8
33,0.0020461415,0.0025136874,int8
34,0.0020762943,0.0018539837,int8
35,0.0021960575,0.0025811738,int8
36,0.0021435672,0.0020167073,int8
37,0.0022032144,0.0023770663,int8
38,0.002172857,0.0028454924,int8
39,0.0020824776,0.0023956602,int8
40,0.0021722114,0.0027949775,int8
41,0.0023368206,0.0031611018,int8
42,0.0024087923,0.003316013,int8
43,0.0024400013,0.0032915303,int8
44,0.002205633,0.0027906126,int8
45,0.0022833182,0.0036501829,int8
46,0.002414419,0.006497952,int8
47,0.0025572348,0.011722845,int8
48,0.0025262258,0.013392116,int8
49,0.003029531,0.031395726,int8
50,0.0025827454,0.009423973,int8
51,0.0031617132,0.04144957,int8
52,0.0039832774,0.07244495,int8
53,0.0026265637,0.0063216607,int8
54,0.0055064266,0.12122504,int8
55,0.0033215065,0.02228306,int8
56,0.0050374833,0.09150031,int8
57,0.0043286686,0.048707757,int8
58,0.004431458,0.047604784,int8
59,0.006631036,0.15113483,int8
60,0.0037368045,0.027773403,int8
61,0.0026482348,0.009019684,int8
62,0.0020204203,0.02415945,int8
63,0.0015786679,0.0026340869,int8
