scope,layer,mean,std,low_entropy_frac,method
global,-1,1.9899762,0.5524768829345703,0.042091836734693876,bfloat16
layer,0,2.33831,,0.14285714285714285,bfloat16
layer,1,2.6493642,,0.0,bfloat16
layer,2,2.8192554,,0.0,bfloat16
layer,3,2.7319558,,0.0,bfloat16
layer,4,1.3998731,,0.25,bfloat16
layer,5,1.4062586,,0.17857142857142858,bfloat16
layer,6,1.6507581,,0.0,bfloat16
layer,7,1.9745543,,0.0,bfloat16
layer,8,1.9133915,,0.07142857142857142,bfloat16
layer,9,1.9952906,,0.0,bfloat16
layer,10,1.8377342,,0.0,bfloat16
layer,11,1.9313778,,0.0,bfloat16
layer,12,1.9432497,,0.0,bfloat16
layer,13,2.041778,,0.03571428571428571,bfloat16
layer,14,1.6420337,,0.10714285714285714,bfloat16
layer,15,1.9737958,,0.0,bfloat16
layer,16,1.9407345,,0.0,bfloat16
layer,17,1.9235803,,0.0,bfloat16
layer,18,2.0782406,,0.03571428571428571,bfloat16
layer,19,1.9580928,,0.03571428571428571,bfloat16
layer,20,1.9712778,,0.0,bfloat16
layer,21,1.970934,,0.03571428571428571,bfloat16
layer,22,1.8464887,,0.03571428571428571,bfloat16
layer,23,1.9325029,,0.0,bfloat16
layer,24,1.8095349,,0.03571428571428571,bfloat16
layer,25,1.9098785,,0.0,bfloat16
layer,26,1.8875723,,0.07142857142857142,bfloat16
layer,27,2.241514,,0.14285714285714285,bfloat16
global,-1,1.985405,0.5498031973838806,0.04081632653061224,awq
layer,0,2.337416,,0.14285714285714285,awq
layer,1,2.6499257,,0.0,awq
layer,2,2.8109868,,0.0,awq
layer,3,2.7284796,,0.0,awq
layer,4,1.385441,,0.25,awq
layer,5,1.4031135,,0.14285714285714285,awq
layer,6,1.675079,,0.0,awq
layer,7,1.9723626,,0.0,awq
layer,8,1.9208803,,0.07142857142857142,awq
layer,9,2.0009654,,0.0,awq
layer,10,1.8640325,,0.0,awq
layer,11,1.9234285,,0.0,awq
layer,12,1.9517028,,0.0,awq
layer,13,2.0661566,,0.03571428571428571,awq
layer,14,1.6450269,,0.10714285714285714,awq
layer,15,1.9732758,,0.0,awq
layer,16,1.9604446,,0.0,awq
layer,17,1.9462359,,0.0,awq
layer,18,2.091973,,0.03571428571428571,awq
layer,19,1.9495167,,0.03571428571428571,awq
layer,20,1.9607445,,0.0,awq
layer,21,1.9487562,,0.03571428571428571,awq
layer,22,1.8468043,,0.03571428571428571,awq
layer,23,1.9062366,,0.0,awq
layer,24,1.7894357,,0.03571428571428571,awq
layer,25,1.8693066,,0.0,awq
layer,26,1.8066636,,0.07142857142857142,awq
layer,27,2.2069468,,0.14285714285714285,awq
global,-1,2.0008874,0.5463168621063232,0.039540816326530615,hqq
layer,0,2.335594,,0.14285714285714285,hqq
layer,1,2.6432834,,0.0,hqq
layer,2,2.814995,,0.0,hqq
layer,3,2.733154,,0.0,hqq
layer,4,1.3996238,,0.25,hqq
layer,5,1.4325321,,0.10714285714285714,hqq
layer,6,1.6651189,,0.0,hqq
layer,7,1.9685179,,0.0,hqq
layer,8,1.9209205,,0.07142857142857142,hqq
layer,9,2.0323195,,0.0,hqq
layer,10,1.8484243,,0.0,hqq
layer,11,1.9582826,,0.0,hqq
layer,12,1.9217875,,0.0,hqq
layer,13,2.0568182,,0.03571428571428571,hqq
layer,14,1.6543418,,0.10714285714285714,hqq
layer,15,1.9814302,,0.0,hqq
layer,16,1.9552433,,0.0,hqq
layer,17,1.9384422,,0.0,hqq
layer,18,2.0791352,,0.03571428571428571,hqq
layer,19,1.9582008,,0.03571428571428571,hqq
layer,20,1.9791003,,0.0,hqq
layer,21,1.9734633,,0.03571428571428571,hqq
layer,22,1.8708689,,0.03571428571428571,hqq
layer,23,1.964434,,0.0,hqq
