layer,kl_mean,kl_std,method
0,18.3725,3.6692142,awq
1,16.60445,4.8081794,awq
2,17.077461,4.6643353,awq
3,16.62471,5.0460367,awq
4,16.871727,4.9190526,awq
5,17.25819,4.2784796,awq
6,17.624594,3.9866607,awq
7,16.887577,4.4436965,awq
8,17.347395,4.089355,awq
9,17.500505,3.9914494,awq
10,18.29018,3.3133368,awq
11,18.652298,3.0158882,awq
12,18.618153,3.0036461,awq
13,18.575827,2.9810033,awq
14,18.327314,3.2164564,awq
15,18.199362,3.4149158,awq
16,17.15738,4.2349405,awq
17,16.122248,4.544901,awq
18,15.9439745,4.586561,awq
19,16.085201,4.173938,awq
20,15.93574,4.2408524,awq
21,15.710264,4.251091,awq
22,15.676031,4.2550297,awq
23,13.724118,4.879311,awq
24,14.037669,4.7398944,awq
25,13.807383,4.786329,awq
26,13.36263,4.5907836,awq
27,12.841624,4.6086764,awq
28,13.442747,4.6131763,awq
29,13.620648,4.778176,awq
30,13.75187,4.689788,awq
31,13.224759,4.807795,awq
32,13.12225,4.461905,awq
33,13.044182,4.4342203,awq
34,13.163703,4.186631,awq
35,12.728814,4.3527017,awq
36,12.544924,4.3108006,awq
37,12.607181,4.4112926,awq
38,12.966022,4.15447,awq
39,13.13132,4.2388473,awq
40,13.006649,4.288555,awq
41,13.686034,4.730129,awq
42,14.368637,4.659663,awq
43,15.07439,4.4711885,awq
44,15.121426,3.9761927,awq
45,14.27776,4.5058985,awq
46,14.051748,4.8641095,awq
47,14.599806,4.971164,awq
0,18.872717,3.4693,hqq
1,18.982138,3.377661,hqq
2,18.841423,3.5328465,hqq
3,18.38136,3.8684394,hqq
4,18.099237,4.2734814,hqq
5,17.928514,4.262278,hqq
6,18.500803,3.7315161,hqq
7,18.423492,3.7242875,hqq
8,18.31641,3.8032668,hqq
9,18.200184,3.8777287,hqq
10,18.205032,3.9425144,hqq
11,18.295086,3.79961,hqq
12,18.261791,3.8511715,hqq
13,18.468119,3.49329,hqq
14,18.264503,3.8582478,hqq
15,17.922037,4.2362766,hqq
16,17.75934,4.3462386,hqq
17,17.825283,4.2272797,hqq
18,17.675898,4.195548,hqq
19,17.501198,4.0618486,hqq
20,17.277819,4.0540733,hqq
21,16.861078,4.2414722,hqq
22,16.319082,4.4923716,hqq
23,15.102289,4.987501,hqq
24,14.307125,4.7592106,hqq
25,14.188211,4.6805367,hqq
26,13.490506,4.586912,hqq
27,12.903432,4.6217937,hqq
28,12.57095,4.9036555,hqq
29,12.297269,4.7864585,hqq
30,11.3030815,4.82069,hqq
31,11.270687,4.8096604,hqq
32,11.007808,4.6844816,hqq
33,10.711137,4.79594,hqq
34,10.66302,4.654536,hqq
35,10.23558,4.635082,hqq
36,10.211362,4.594114,hqq
37,10.161794,4.6037674,hqq
38,10.317608,4.655808,hqq
39,10.357765,4.699463,hqq
40,10.280533,4.7253776,hqq
41,10.342144,5.0021677,hqq
42,9.788298,5.0601387,hqq
43,9.903833,5.1461906,hqq
44,10.04428,5.2817225,hqq
45,10.55896,5.0941606,hqq
46,10.631425,5.1460776,hqq
47,10.524784,5.4636073,hqq
0,19.30942,3.0780363,fp8
1,18.528572,4.078857,fp8
2,18.212385,4.385076,fp8
3,17.790886,4.6564794,fp8
4,17.616854,4.892786,fp8
5,17.463375,4.997304,fp8
6,17.831558,4.5402074,fp8
7,17.93084,4.281394,fp8
8,18.03966,4.16032,fp8
9,18.216091,4.024933,fp8
10,18.03254,4.185728,fp8
11,18.051512,4.0592365,fp8
12,18.074411,3.9967597,fp8
13,18.243479,3.7046661,fp8
14,17.914549,4.0075746,fp8
15,17.6695,4.364958,fp8
16,17.293562,4.6189647,fp8
17,16.987665,4.755114,fp8
18,16.618025,4.816596,fp8
19,16.56663,4.636623,fp8
20,16.226852,4.710898,fp8
21,15.706807,4.718767,fp8
22,14.8934555,5.0175886,fp8
23,13.194671,5.4601927,fp8
24,12.705952,5.185268,fp8
25,12.248736,5.1195464,fp8
26,11.59216,4.859468,fp8
27,11.241286,4.882401,fp8
28,11.152872,5.075074,fp8
29,11.216774,4.86444,fp8
30,11.414783,4.8239346,fp8
31,11.2642975,4.735444,fp8
32,10.698522,4.6841755,fp8
33,10.422534,4.793482,fp8
34,10.331696,4.814893,fp8
35,10.038281,4.770378,fp8
36,10.08604,4.7564535,fp8
37,10.197063,4.8037376,fp8
38,9.952786,4.7185755,fp8
39,10.571893,4.7756,fp8
40,10.143825,4.8035893,fp8
41,10.371742,4.9918356,fp8
42,10.248986,4.8911796,fp8
43,10.101286,4.794676,fp8
44,9.752738,4.9380927,fp8
45,9.908779,4.9952807,fp8
46,10.071744,5.066291,fp8
47,10.516754,5.2490864,fp8
0,20.166162,0.59195095,int4
1,20.17908,0.6095415,int4
2,20.14124,0.8091018,int4
3,20.084806,0.8776723,int4
4,20.09405,0.9304189,int4
5,20.030933,0.95307386,int4
6,20.038973,0.85410714,int4
7,19.99483,0.8883785,int4
8,19.992407,0.89769435,int4
9,19.983576,0.76594,int4
10,20.024076,0.8255488,int4
11,20.012304,0.8377441,int4
12,19.987001,0.8576415,int4
13,19.984604,0.75090027,int4
14,19.9839,0.9426968,int4
15,20.001507,1.0501162,int4
16,19.987097,1.1288517,int4
17,19.953753,1.0539074,int4
18,19.912731,1.140561,int4
19,19.84639,1.078748,int4
20,19.820856,1.0338893,int4
21,19.801758,0.91602653,int4
22,19.774372,1.0050986,int4
23,19.838537,0.732042,int4
24,19.709038,0.77962744,int4
25,19.6876,0.86078507,int4
26,19.584631,0.80203426,int4
27,19.549524,0.81744945,int4
28,19.601707,0.6980934,int4
29,19.575352,0.650312,int4
30,19.541245,0.64634293,int4
31,19.533216,0.5923201,int4
32,19.512987,0.5857467,int4
33,19.514484,0.5941485,int4
34,19.508287,0.5906671,int4
35,19.521954,0.59804153,int4
36,19.513306,0.5957459,int4
37,19.517038,0.59435475,int4
38,19.51557,0.5933843,int4
39,19.517569,0.60261434,int4
40,19.533129,0.60928667,int4
41,19.57533,0.60441,int4
42,19.593962,0.6113424,int4
43,19.59094,0.6979489,int4
44,19.62238,0.7583901,int4
45,19.618988,0.85351485,int4
46,19.65048,0.9305841,int4
47,19.661366,1.2356184,int4
0,19.057344,3.2657967,float16
1,19.287455,3.092083,float16
2,19.160582,3.211383,float16
3,18.33746,3.888735,float16
4,18.493334,3.8588676,float16
5,18.74661,3.2511907,float16
6,18.64157,3.4392893,float16
7,18.28102,3.7736056,float16
8,18.396692,3.606795,float16
9,18.470915,3.540717,float16
10,18.476652,3.6119606,float16
11,18.409595,3.6070797,float16
12,18.448648,3.573112,float16
13,18.492907,3.3934908,float16
14,18.59953,3.4022415,float16
15,17.921259,4.2685113,float16
16,18.094448,4.0693493,float16
17,17.846544,4.2518277,float16
18,17.483208,4.465454,float16
19,17.432304,4.1806855,float16
20,17.21551,4.1816616,float16
21,16.869509,4.289348,float16
22,16.147669,4.518581,float16
23,14.00271,5.6235056,float16
24,13.456182,5.248336,float16
25,13.046369,5.2979565,float16
26,12.561373,4.9344535,float16
27,12.180333,4.826305,float16
28,11.704745,5.16116,float16
29,11.566256,4.9698243,float16
30,11.219475,4.9006076,float16
31,10.826278,4.7550893,float16
32,10.164903,4.710278,float16
33,10.3272915,4.752621,float16
34,10.154115,4.746257,float16
35,10.0106325,4.8738866,float16
36,10.016316,4.907446,float16
37,10.017644,4.847994,float16
38,9.761691,4.732979,float16
39,10.100573,4.805946,float16
40,9.722789,4.856579,float16
41,10.183353,5.0137634,float16
42,10.1600895,5.089813,float16
43,10.117957,5.0004,float16
44,9.8713455,5.01838,float16
45,10.04997,5.0215626,float16
46,10.198336,5.095928,float16
47,10.7454,5.293249,float16
0,20.166162,0.59195095,int8
1,20.17908,0.6095415,int8
2,20.14124,0.8091018,int8
3,20.084806,0.8776723,int8
4,20.09405,0.9304189,int8
5,20.030933,0.95307386,int8
6,20.038973,0.85410714,int8
7,19.99483,0.8883785,int8
8,19.992407,0.89769435,int8
9,19.983576,0.76594,int8
10,20.024076,0.8255488,int8
11,20.012304,0.8377441,int8
12,19.987001,0.8576415,int8
13,19.984604,0.75090027,int8
14,19.9839,0.9426968,int8
15,20.001507,1.0501162,int8
16,19.987097,1.1288517,int8
17,19.953753,1.0539074,int8
18,19.912731,1.140561,int8
19,19.84639,1.078748,int8
20,19.820856,1.0338893,int8
21,19.801758,0.91602653,int8
22,19.774372,1.0050986,int8
23,19.838537,0.732042,int8
24,19.709038,0.77962744,int8
25,19.6876,0.86078507,int8
26,19.584631,0.80203426,int8
27,19.549524,0.81744945,int8
28,19.601707,0.6980934,int8
29,19.575352,0.650312,int8
30,19.541245,0.64634293,int8
31,19.533216,0.5923201,int8
32,19.512987,0.5857467,int8
33,19.514484,0.5941485,int8
34,19.508287,0.5906671,int8
35,19.521954,0.59804153,int8
36,19.513306,0.5957459,int8
37,19.517038,0.59435475,int8
38,19.51557,0.5933843,int8
39,19.517569,0.60261434,int8
40,19.533129,0.60928667,int8
41,19.57533,0.60441,int8
42,19.593962,0.6113424,int8
43,19.59094,0.6979489,int8
44,19.62238,0.7583901,int8
45,19.618988,0.85351485,int8
46,19.65048,0.9305841,int8
47,19.661366,1.2356184,int8
0,19.373436,2.6731055,gptq
1,18.931541,3.3382308,gptq
2,18.815662,3.3926246,gptq
3,19.01864,2.9975593,gptq
4,19.340248,2.5953248,gptq
5,19.223188,2.6082103,gptq
6,19.40909,2.1721935,gptq
7,19.18029,2.5059319,gptq
8,19.196636,2.4530072,gptq
9,18.83448,2.9116101,gptq
10,18.666245,3.257046,gptq
