scope,layer,mean,std,method
global,-1,1.9963229,0.6138033270835876,bfloat16
layer,0,2.3859375,,bfloat16
layer,1,1.6621583,,bfloat16
layer,2,1.5568359,,bfloat16
layer,3,2.1960938,,bfloat16
layer,4,2.445703,,bfloat16
layer,5,1.3069823,,bfloat16
layer,6,2.6001954,,bfloat16
layer,7,2.0958984,,bfloat16
layer,8,2.4617186,,bfloat16
layer,9,2.464258,,bfloat16
layer,10,2.0382812,,bfloat16
layer,11,2.1447268,,bfloat16
layer,12,2.3544922,,bfloat16
layer,13,2.3501954,,bfloat16
layer,14,2.2626953,,bfloat16
layer,15,2.4851563,,bfloat16
layer,16,1.9076171,,bfloat16
layer,17,1.2908204,,bfloat16
layer,18,1.6383789,,bfloat16
layer,19,1.3327148,,bfloat16
layer,20,2.15625,,bfloat16
layer,21,1.7617188,,bfloat16
layer,22,1.3103516,,bfloat16
layer,23,1.1860352,,bfloat16
layer,24,1.8591797,,bfloat16
layer,25,2.65,,bfloat16
global,-1,2.0121827,0.6091158986091614,hqq
layer,0,2.3874998,,hqq
layer,1,1.6548829,,hqq
layer,2,1.5920899,,hqq
layer,3,2.181836,,hqq
layer,4,2.4363282,,hqq
layer,5,1.365088,,hqq
layer,6,2.6285157,,hqq
layer,7,2.088672,,hqq
layer,8,2.4339843,,hqq
layer,9,2.477539,,hqq
layer,10,2.0234375,,hqq
layer,11,2.1591797,,hqq
layer,12,2.3835936,,hqq
layer,13,2.3658204,,hqq
layer,14,2.302539,,hqq
layer,15,2.5091796,,hqq
layer,16,1.9423828,,hqq
layer,17,1.3409667,,hqq
layer,18,1.6358398,,hqq
layer,19,1.3370118,,hqq
layer,20,2.1638672,,hqq
layer,21,1.7617188,,hqq
layer,22,1.3065919,,hqq
layer,23,1.2227539,,hqq
layer,24,1.9542968,,hqq
layer,25,2.6611328,,hqq
global,-1,1.9965012,0.610584557056427,fp8
layer,0,2.386914,,fp8
layer,1,1.6644043,,fp8
layer,2,1.5601562,,fp8
layer,3,2.201758,,fp8
layer,4,2.4498048,,fp8
layer,5,1.288379,,fp8
layer,6,2.6097658,,fp8
layer,7,2.1033204,,fp8
layer,8,2.4535155,,fp8
layer,9,2.445117,,fp8
layer,10,2.0429688,,fp8
layer,11,2.12334,,fp8
layer,12,2.3507812,,fp8
layer,13,2.3640625,,fp8
