layer,kl_mean,kl_std,method
0,0.3267556,1.0771924,hqq
1,0.09159245,0.15477253,hqq
2,0.17519799,0.33244583,hqq
3,0.25316003,0.36665776,hqq
4,0.27084473,0.36689797,hqq
5,0.18775634,0.19918731,hqq
6,0.22650962,0.2545799,hqq
7,0.1514617,0.1803273,hqq
8,0.15152998,0.1670387,hqq
9,0.18711658,0.21332176,hqq
10,0.24023347,0.24772376,hqq
11,0.4708787,0.64089715,hqq
12,0.6958889,1.0784941,hqq
13,0.512973,0.63527584,hqq
14,0.52262104,0.7015045,hqq
15,0.5684279,0.7678635,hqq
16,0.38353598,0.54073507,hqq
17,0.48607057,0.7283997,hqq
0,0.035603262,0.22973539,fp8
1,0.008299369,0.012799639,fp8
2,0.014472977,0.026041543,fp8
3,0.019158447,0.032057445,fp8
4,0.01700762,0.023596544,fp8
5,0.012568685,0.01630999,fp8
6,0.015828976,0.022941539,fp8
7,0.008978579,0.019521972,fp8
8,0.009265634,0.014899146,fp8
9,0.010332389,0.012705945,fp8
10,0.01199943,0.020938372,fp8
11,0.026778111,0.067011,fp8
12,0.043534994,0.19846156,fp8
13,0.027316572,0.08510193,fp8
14,0.030740794,0.17826378,fp8
15,0.032896154,0.14049418,fp8
16,0.021305477,0.05315997,fp8
17,0.024034206,0.06697195,fp8
0,0.37454835,1.2277483,int4
1,0.0924339,0.12909533,int4
2,0.17775062,0.30632246,int4
3,0.251735,0.37704152,int4
4,0.24567181,0.36982888,int4
5,0.16895664,0.22455321,int4
6,0.19653796,0.25757962,int4
7,0.12106784,0.15741038,int4
8,0.11662709,0.14017956,int4
9,0.14540176,0.17804614,int4
10,0.171208,0.16675155,int4
11,0.37271047,0.5699249,int4
12,0.55997086,0.98226684,int4
13,0.39669788,0.5372291,int4
14,0.41010484,0.6196038,int4
15,0.443243,0.62646836,int4
16,0.30634582,0.48664334,int4
17,0.35570046,0.649903,int4
0,0.0,0.0,float16
1,9.132034e-05,0.00053717784,float16
2,0.00033201138,0.0011262835,float16
3,0.00065582886,0.0015975392,float16
4,0.00069603947,0.0014245876,float16
5,0.0007400043,0.0009871216,float16
6,0.00089017773,0.001208041,float16
7,0.00048366748,0.00054917927,float16
8,0.00055072823,0.00061779027,float16
9,0.0005785109,0.0006110196,float16
10,0.0005913377,0.0005630485,float16
11,0.0014478827,0.002492332,float16
12,0.0022383414,0.0048179827,float16
13,0.00132034,0.002239455,float16
14,0.0012597957,0.0026567152,float16
15,0.001361354,0.0024961268,float16
16,0.0010569659,0.0017863589,float16
17,0.0013861423,0.0023335589,float16
0,0.015515273,0.06380852,int8
1,0.0032486408,0.004425506,int8
2,0.004958664,0.00778837,int8
3,0.0058175297,0.008566926,int8
4,0.00553131,0.007945034,int8
5,0.004225823,0.004732315,int8
6,0.0046521737,0.006470199,int8
7,0.0026336254,0.0032649343,int8
8,0.0027424325,0.0029905797,int8
9,0.003173313,0.0033777554,int8
10,0.0033331574,0.0036703234,int8
11,0.008198013,0.015553099,int8
12,0.011080017,0.021152051,int8
13,0.008442488,0.014396155,int8
14,0.008465729,0.019700384,int8
15,0.009926265,0.017563684,int8
16,0.0065170727,0.012880558,int8
17,0.008077381,0.014726739,int8
0,4.186791896820068,6.958020210266113,awq
1,1.9263544082641602,2.4905900955200195,awq
2,3.1843981742858887,2.605919361114502,awq
3,4.352545261383057,3.4993135929107666,awq
4,1.4550163745880127,1.268556833267212,awq
5,1.219272494316101,1.1269869804382324,awq
6,1.6353857517242432,1.4259521961212158,awq
7,1.3200664520263672,1.3480198383331299,awq
8,1.3738020658493042,1.388620138168335,awq
9,1.1382958889007568,0.9379827976226807,awq
10,0.9076417684555054,0.6892108917236328,awq
11,1.7651653289794922,1.2631851434707642,awq
12,2.506815195083618,1.6269571781158447,awq
13,2.6312761306762695,1.6286566257476807,awq
14,2.7191898822784424,1.7968765497207642,awq
15,3.4547226428985596,2.450385808944702,awq
16,4.244656085968018,3.137584924697876,awq
17,4.734005451202393,3.7102975845336914,awq
