scope,layer,mean,std,method
global,-1,1.7758313,0.6075387597084045,bfloat16
layer,0,1.9341797,,bfloat16
layer,1,0.9921387,,bfloat16
layer,2,1.6351562,,bfloat16
layer,3,2.0365236,,bfloat16
layer,4,2.2525392,,bfloat16
layer,5,1.236841,,bfloat16
layer,6,2.5351562,,bfloat16
layer,7,2.40625,,bfloat16
layer,8,2.0066407,,bfloat16
layer,9,2.3630857,,bfloat16
layer,10,2.219922,,bfloat16
layer,11,1.7675781,,bfloat16
layer,12,1.4339843,,bfloat16
layer,13,1.3548828,,bfloat16
layer,14,1.4036133,,bfloat16
layer,15,1.6999999,,bfloat16
layer,16,1.4701173,,bfloat16
layer,17,1.2163575,,bfloat16
global,-1,1.8279052,0.5904300808906555,hqq
layer,0,1.9484375,,hqq
layer,1,1.0279297,,hqq
layer,2,1.5800781,,hqq
layer,3,2.0564454,,hqq
layer,4,2.2507813,,hqq
layer,5,1.4146972,,hqq
layer,6,2.466406,,hqq
layer,7,2.453125,,hqq
layer,8,1.9847655,,hqq
layer,9,2.2767577,,hqq
layer,10,2.3675783,,hqq
layer,11,1.9185548,,hqq
layer,12,1.3706055,,hqq
layer,13,1.4441406,,hqq
layer,14,1.5083007,,hqq
layer,15,1.7537109,,hqq
layer,16,1.6316407,,hqq
layer,17,1.4483398,,hqq
global,-1,1.7764229,0.6058075428009033,fp8
layer,0,1.9390625,,fp8
layer,1,1.002539,,fp8
layer,2,1.6322267,,fp8
layer,3,2.036914,,fp8
layer,4,2.2636719,,fp8
layer,5,1.2453859,,fp8
layer,6,2.5496094,,fp8
layer,7,2.4050782,,fp8
layer,8,2.005664,,fp8
layer,9,2.3802733,,fp8
layer,10,2.2152343,,fp8
layer,11,1.7692382,,fp8
layer,12,1.4154297,,fp8
layer,13,1.3331056,,fp8
layer,14,1.4070313,,fp8
layer,15,1.6527344,,fp8
layer,16,1.4808594,,fp8
layer,17,1.2415527,,fp8
global,-1,1.8092692,0.609239399433136,int4
layer,0,1.9558594,,int4
layer,1,0.9654785,,int4
layer,2,1.6570313,,int4
layer,3,2.036914,,int4
layer,4,2.2455077,,int4
layer,5,1.4009765,,int4
layer,6,2.5810547,,int4
layer,7,2.4015625,,int4
layer,8,2.109375,,int4
layer,9,2.2927735,,int4
layer,10,2.2748046,,int4
layer,11,2.0035157,,int4
layer,12,1.5022461,,int4
layer,13,1.2928711,,int4
layer,14,1.3171875,,int4
layer,15,1.6990234,,int4
layer,16,1.4656249,,int4
layer,17,1.3650391,,int4
global,-1,1.775971,0.6076030135154724,float16
layer,0,1.9341797,,float16
layer,1,0.99208987,,float16
layer,2,1.6349609,,float16
layer,3,2.0359375,,float16
layer,4,2.2523437,,float16
layer,5,1.236914,,float16
layer,6,2.5353515,,float16
layer,7,2.4078126,,float16
layer,8,2.0060546,,float16
layer,9,2.3636718,,float16
layer,10,2.2203126,,float16
layer,11,1.7673829,,float16
layer,12,1.4344727,,float16
layer,13,1.3544922,,float16
layer,14,1.4045899,,float16
layer,15,1.7,,float16
layer,16,1.4697266,,float16
layer,17,1.2171875,,float16
global,-1,1.7755792,0.6068995594978333,int8
layer,0,1.9359375,,int8
layer,1,0.99350584,,int8
layer,2,1.6353517,,int8
layer,3,2.0359375,,int8
layer,4,2.256836,,int8
layer,5,1.2187744,,int8
layer,6,2.5277343,,int8
layer,7,2.409961,,int8
layer,8,2.0046873,,int8
layer,9,2.3597658,,int8
layer,10,2.2158203,,int8
layer,11,1.7781249,,int8
layer,12,1.4322267,,int8
layer,13,1.3393555,,int8
layer,14,1.4141603,,int8
layer,15,1.7054688,,int8
layer,16,1.4591798,,int8
layer,17,1.2375977,,int8
