scope,layer,mean,std,low_entropy_frac,method
global,-1,0.21800439,0.2588100731372833,0.9705882352941176,bfloat16
layer,0,0.029548086,,1.0,bfloat16
layer,1,0.020985628,,1.0,bfloat16
layer,2,0.022264093,,1.0,bfloat16
layer,3,0.021899365,,1.0,bfloat16
layer,4,0.03479654,,1.0,bfloat16
layer,5,0.08287198,,1.0,bfloat16
layer,6,0.034518354,,1.0,bfloat16
layer,7,0.022569641,,1.0,bfloat16
layer,8,0.024914365,,1.0,bfloat16
layer,9,0.04997167,,1.0,bfloat16
layer,10,0.042958282,,1.0,bfloat16
layer,11,0.27630776,,1.0,bfloat16
layer,12,0.09347818,,1.0,bfloat16
layer,13,0.117061846,,1.0,bfloat16
layer,14,0.1379258,,1.0,bfloat16
layer,15,0.26404828,,1.0,bfloat16
layer,16,0.18996933,,1.0,bfloat16
layer,17,0.65921664,,1.0,bfloat16
layer,18,0.19305393,,1.0,bfloat16
layer,19,0.26130074,,1.0,bfloat16
layer,20,0.26842588,,1.0,bfloat16
layer,21,0.2948932,,1.0,bfloat16
layer,22,0.3566659,,1.0,bfloat16
layer,23,1.4340192,,0.0,bfloat16
layer,24,0.19120294,,1.0,bfloat16
layer,25,0.218308,,1.0,bfloat16
layer,26,0.2592524,,1.0,bfloat16
layer,27,0.23653457,,1.0,bfloat16
layer,28,0.12964986,,1.0,bfloat16
layer,29,0.451981,,1.0,bfloat16
layer,30,0.35798866,,1.0,bfloat16
layer,31,0.11908646,,1.0,bfloat16
layer,32,0.14344397,,1.0,bfloat16
layer,33,0.37103683,,1.0,bfloat16
global,-1,0.21877281,0.2270866334438324,0.9742647058823529,awq
layer,0,0.0272002,,1.0,awq
layer,1,0.016151622,,1.0,awq
layer,2,0.023134936,,1.0,awq
layer,3,0.026965346,,1.0,awq
layer,4,0.03697083,,1.0,awq
layer,5,0.10189096,,1.0,awq
layer,6,0.040563516,,1.0,awq
layer,7,0.033312272,,1.0,awq
layer,8,0.042973753,,1.0,awq
layer,9,0.055371016,,1.0,awq
layer,10,0.061022077,,1.0,awq
layer,11,0.37131166,,1.0,awq
layer,12,0.11392462,,1.0,awq
layer,13,0.14027846,,1.0,awq
layer,14,0.17406899,,1.0,awq
layer,15,0.17485616,,1.0,awq
layer,16,0.19765174,,1.0,awq
layer,17,0.46817744,,1.0,awq
layer,18,0.1762298,,1.0,awq
layer,19,0.24028373,,1.0,awq
layer,20,0.23686342,,1.0,awq
layer,21,0.2507748,,1.0,awq
layer,22,0.29406658,,1.0,awq
layer,23,1.1161996,,0.125,awq
layer,24,0.22492018,,1.0,awq
layer,25,0.23943254,,1.0,awq
layer,26,0.33345407,,1.0,awq
layer,27,0.19302274,,1.0,awq
layer,28,0.15891649,,1.0,awq
layer,29,0.64437735,,1.0,awq
layer,30,0.54612356,,1.0,awq
layer,31,0.13439772,,1.0,awq
layer,32,0.16353594,,1.0,awq
layer,33,0.37985122,,1.0,awq
global,-1,0.21672148,0.2538502514362335,0.9705882352941176,hqq
layer,0,0.027887076,,1.0,hqq
layer,1,0.023854565,,1.0,hqq
layer,2,0.026425572,,1.0,hqq
layer,3,0.021145653,,1.0,hqq
layer,4,0.036672704,,1.0,hqq
layer,5,0.090319395,,1.0,hqq
layer,6,0.0362645,,1.0,hqq
layer,7,0.02183959,,1.0,hqq
layer,8,0.025262102,,1.0,hqq
layer,9,0.051553328,,1.0,hqq
layer,10,0.04431492,,1.0,hqq
layer,11,0.27635348,,1.0,hqq
layer,12,0.092372864,,1.0,hqq
layer,13,0.11969103,,1.0,hqq
layer,14,0.13284278,,1.0,hqq
layer,15,0.27970138,,1.0,hqq
layer,16,0.17188643,,1.0,hqq
layer,17,0.6272583,,1.0,hqq
layer,18,0.18654928,,1.0,hqq
layer,19,0.2780523,,1.0,hqq
layer,20,0.2725662,,1.0,hqq
layer,21,0.28605974,,1.0,hqq
layer,22,0.3448693,,1.0,hqq
layer,23,1.3997881,,0.0,hqq
layer,24,0.18561101,,1.0,hqq
layer,25,0.21553528,,1.0,hqq
layer,26,0.25760394,,1.0,hqq
layer,27,0.2181393,,1.0,hqq
layer,28,0.13177599,,1.0,hqq
layer,29,0.477108,,1.0,hqq
layer,30,0.38979667,,1.0,hqq
layer,31,0.12096135,,1.0,hqq
layer,32,0.1348398,,1.0,hqq
layer,33,0.36362806,,1.0,hqq
global,-1,0.21433334,0.2478804588317871,0.9705882352941176,fp8
layer,0,0.028711367,,1.0,fp8
layer,1,0.024506398,,1.0,fp8
layer,2,0.025293902,,1.0,fp8
layer,3,0.019438999,,1.0,fp8
layer,4,0.03917878,,1.0,fp8
layer,5,0.08998975,,1.0,fp8
