layer,kl_mean,kl_std,method
0,0.001591611,0.0011617793,fp8
1,0.0030345926,0.0021564357,fp8
2,0.0037914058,0.002838737,fp8
3,0.0053551216,0.0040845126,fp8
4,0.006033248,0.0047210734,fp8
5,0.0071193776,0.0051857815,fp8
6,0.007723158,0.006108106,fp8
7,0.008312445,0.0069659273,fp8
8,0.009357304,0.008857997,fp8
9,0.009658107,0.008886778,fp8
10,0.010190383,0.010228695,fp8
11,0.0109951105,0.010897415,fp8
12,0.009790641,0.009516686,fp8
13,0.009640666,0.011401692,fp8
14,0.009358858,0.013805071,fp8
15,0.008549113,0.017246101,fp8
16,0.007522465,0.014510497,fp8
17,0.007127757,0.014904523,fp8
18,0.007178464,0.020400839,fp8
19,0.007098723,0.021945061,fp8
20,0.0075345696,0.027778547,fp8
21,0.007098251,0.021190818,fp8
22,0.007319641,0.018773163,fp8
23,0.007999922,0.01585179,fp8
24,0.008743598,0.027440079,fp8
25,0.010876472,0.10042642,fp8
26,0.009200921,0.03557326,fp8
27,0.008927265,0.026522012,fp8
28,0.009341371,0.029196795,fp8
29,0.01302969,0.21569945,fp8
30,0.008628743,0.040711768,fp8
31,0.004266145,0.01252901,fp8
0,0.025064709,0.01777446,int4
1,0.044615768,0.031587634,int4
2,0.05919205,0.044682343,int4
3,0.08807101,0.063567236,int4
4,0.105139874,0.08230083,int4
5,0.11113072,0.08876111,int4
6,0.11589735,0.09272631,int4
7,0.12233285,0.0924966,int4
8,0.13353291,0.1274066,int4
9,0.13358495,0.12603801,int4
10,0.14234886,0.13035437,int4
11,0.148477,0.14613904,int4
12,0.13560474,0.13682707,int4
13,0.13085371,0.11905225,int4
14,0.12452973,0.1373006,int4
15,0.10821423,0.104263194,int4
16,0.09945797,0.1069757,int4
17,0.09187725,0.11591553,int4
18,0.08929924,0.12143332,int4
19,0.08652675,0.12033664,int4
20,0.08886679,0.1437862,int4
21,0.0946624,0.17022951,int4
22,0.09985841,0.19116393,int4
23,0.104771964,0.19507447,int4
24,0.113288976,0.26101324,int4
25,0.106352575,0.19029143,int4
26,0.109854504,0.1982159,int4
27,0.11516513,0.2754406,int4
28,0.12271823,0.37608773,int4
29,0.12498911,0.39528203,int4
30,0.09997199,0.20579411,int4
31,0.05869298,0.15290925,int4
0,6.108943e-05,0.000113790884,float16
1,0.00022857552,0.00020663204,float16
2,0.00031631562,0.00025321805,float16
3,0.0004172023,0.00029090184,float16
4,0.00048081428,0.00033795618,float16
5,0.0005241658,0.00035694343,float16
6,0.00058623933,0.00038203306,float16
7,0.0006255042,0.00046465115,float16
8,0.00069519406,0.0011557243,float16
9,0.00068634655,0.0007504179,float16
10,0.00071660505,0.00093109114,float16
11,0.00076773006,0.0009133804,float16
12,0.00070207706,0.0008560799,float16
13,0.00068372017,0.0008215275,float16
14,0.0007116605,0.0014877615,float16
15,0.00067543547,0.0014353482,float16
16,0.00060974143,0.000858742,float16
17,0.0006146928,0.0021083206,float16
18,0.0006661986,0.0034381924,float16
19,0.0006024419,0.0025312868,float16
20,0.000644159,0.0026047167,float16
21,0.00062442897,0.0019569972,float16
22,0.00066122337,0.0028734636,float16
23,0.00070992415,0.003778645,float16
24,0.0008689004,0.008065112,float16
25,0.0012126165,0.02312757,float16
26,0.00078866637,0.003510909,float16
27,0.00077897066,0.0033650205,float16
28,0.00071103475,0.002178352,float16
29,0.0022979442,0.076826155,float16
30,0.00086517836,0.011208274,float16
31,0.0005626604,0.0007769281,float16
0,0.00071125996,0.00047261905,int8
1,0.0012162988,0.0008007569,int8
2,0.001982893,0.001345625,int8
3,0.002872864,0.002055023,int8
4,0.0031953128,0.0024768377,int8
5,0.003545955,0.002807084,int8
6,0.0036121525,0.0028915415,int8
7,0.0038121664,0.0034630732,int8
8,0.004051113,0.0076926057,int8
9,0.0040340084,0.009520869,int8
10,0.004139327,0.008758023,int8
11,0.0045357575,0.019513296,int8
12,0.004051264,0.015229494,int8
13,0.0038153897,0.011394022,int8
