scope,layer,mean,std,low_entropy_frac,method
global,-1,1.6922631,0.6601073741912842,0.16796875,bfloat16
layer,0,1.2952715,,0.3125,bfloat16
layer,1,0.7377849,,0.875,bfloat16
layer,2,0.54610133,,0.875,bfloat16
layer,3,1.2163887,,0.34375,bfloat16
layer,4,1.1300921,,0.34375,bfloat16
layer,5,1.2109718,,0.28125,bfloat16
layer,6,2.0034623,,0.0,bfloat16
layer,7,2.2677293,,0.0,bfloat16
layer,8,2.203936,,0.03125,bfloat16
layer,9,1.8000089,,0.0,bfloat16
layer,10,2.0193157,,0.03125,bfloat16
layer,11,2.4528208,,0.0,bfloat16
layer,12,2.6745677,,0.0,bfloat16
layer,13,2.4560108,,0.0,bfloat16
layer,14,2.155583,,0.0,bfloat16
layer,15,2.0167546,,0.09375,bfloat16
layer,16,1.793952,,0.0625,bfloat16
layer,17,2.1714468,,0.0,bfloat16
layer,18,1.5751357,,0.0625,bfloat16
layer,19,1.7835827,,0.0,bfloat16
layer,20,1.1055007,,0.46875,bfloat16
layer,21,1.7639942,,0.0,bfloat16
layer,22,1.5615798,,0.0,bfloat16
layer,23,1.0059047,,0.5625,bfloat16
layer,24,1.5049059,,0.0,bfloat16
layer,25,1.43399,,0.03125,bfloat16
layer,26,1.3841703,,0.125,bfloat16
layer,27,1.172725,,0.3125,bfloat16
layer,28,1.0113837,,0.5625,bfloat16
layer,29,1.6921146,,0.0,bfloat16
layer,30,2.4610047,,0.0,bfloat16
layer,31,2.5442297,,0.0,bfloat16
global,-1,1.7500061,0.6407683491706848,0.130859375,awq
layer,0,1.3802066,,0.28125,awq
layer,1,0.79009885,,0.8125,awq
layer,2,0.5564258,,0.875,awq
layer,3,1.1852559,,0.34375,awq
layer,4,1.1652123,,0.3125,awq
layer,5,1.2235706,,0.28125,awq
layer,6,1.9833304,,0.0,awq
layer,7,2.2567863,,0.0,awq
layer,8,2.223449,,0.03125,awq
layer,9,1.7873029,,0.0,awq
layer,10,2.0643196,,0.03125,awq
layer,11,2.5148268,,0.0,awq
layer,12,2.652183,,0.0,awq
layer,13,2.501531,,0.0,awq
layer,14,2.201543,,0.0,awq
layer,15,2.0738966,,0.09375,awq
layer,16,1.8602474,,0.0625,awq
layer,17,2.1962311,,0.0,awq
layer,18,1.7172683,,0.0,awq
layer,19,1.8044065,,0.0,awq
layer,20,1.2142041,,0.34375,awq
layer,21,1.8131313,,0.03125,awq
layer,22,1.7292243,,0.0,awq
layer,23,1.1325637,,0.21875,awq
layer,24,1.5945169,,0.0,awq
layer,25,1.4815667,,0.0,awq
layer,26,1.4675196,,0.09375,awq
layer,27,1.3404758,,0.15625,awq
layer,28,1.306171,,0.21875,awq
layer,29,1.7174208,,0.0,awq
layer,30,2.4887953,,0.0,awq
layer,31,2.576516,,0.0,awq
global,-1,1.7194433,0.6580782532691956,0.150390625,hqq
layer,0,1.3008817,,0.3125,hqq
layer,1,0.7921141,,0.78125,hqq
layer,2,0.58759284,,0.875,hqq
layer,3,1.0916574,,0.4375,hqq
layer,4,1.0986269,,0.34375,hqq
layer,5,1.2071444,,0.28125,hqq
layer,6,2.0106025,,0.0,hqq
layer,7,2.3019795,,0.0,hqq
layer,8,2.1866634,,0.03125,hqq
layer,9,1.7996013,,0.0,hqq
layer,10,2.0202339,,0.03125,hqq
layer,11,2.4450917,,0.0,hqq
layer,12,2.6797097,,0.0,hqq
layer,13,2.4789808,,0.0,hqq
layer,14,2.2287016,,0.0,hqq
layer,15,2.060093,,0.09375,hqq
layer,16,1.7301791,,0.09375,hqq
layer,17,2.1826768,,0.0,hqq
layer,18,1.6049356,,0.0,hqq
layer,19,1.7817132,,0.0,hqq
layer,20,1.1476268,,0.46875,hqq
layer,21,1.7963349,,0.0,hqq
layer,22,1.5950594,,0.0,hqq
layer,23,1.1210886,,0.28125,hqq
layer,24,1.4984775,,0.03125,hqq
layer,25,1.5171967,,0.0,hqq
layer,26,1.4605037,,0.0625,hqq
layer,27,1.2512345,,0.1875,hqq
layer,28,1.1022356,,0.5,hqq
layer,29,1.7830247,,0.0,hqq
layer,30,2.53556,,0.0,hqq
layer,31,2.6246676,,0.0,hqq
global,-1,1.6912024,0.6606805324554443,0.169921875,fp8
layer,0,1.2880526,,0.375,fp8
layer,1,0.73281956,,0.875,fp8
layer,2,0.55110425,,0.875,fp8
layer,3,1.2175494,,0.34375,fp8
layer,4,1.136516,,0.34375,fp8
layer,5,1.2089639,,0.28125,fp8
layer,6,2.006607,,0.0,fp8
layer,7,2.2796693,,0.0,fp8
layer,8,2.2015219,,0.03125,fp8
layer,9,1.79628,,0.0,fp8
layer,10,2.0172043,,0.03125,fp8
layer,11,2.4542608,,0.0,fp8
layer,12,2.6761773,,0.0,fp8
layer,13,2.4534657,,0.0,fp8
layer,14,2.172006,,0.0,fp8
layer,15,2.0160913,,0.09375,fp8
layer,16,1.807124,,0.0625,fp8
layer,17,2.1611369,,0.0,fp8
layer,18,1.5585468,,0.0625,fp8
layer,19,1.7799658,,0.0,fp8
layer,20,1.0998881,,0.46875,fp8
layer,21,1.7540641,,0.0,fp8
layer,22,1.5605599,,0.0,fp8
layer,23,0.99485004,,0.625,fp8
layer,24,1.495315,,0.03125,fp8
layer,25,1.4400845,,0.03125,fp8
layer,26,1.3701994,,0.125,fp8
layer,27,1.18703,,0.25,fp8
layer,28,1.0126758,,0.53125,fp8
layer,29,1.6902456,,0.0,fp8
layer,30,2.4525394,,0.0,fp8
layer,31,2.5459642,,0.0,fp8
global,-1,3.6104043,4.76837158203125e-07,0.0,int4
layer,0,3.6104038,,0.0,int4
layer,1,3.6104038,,0.0,int4
layer,2,3.6104038,,0.0,int4
layer,3,3.6104038,,0.0,int4
layer,4,3.6104038,,0.0,int4
layer,5,3.6104038,,0.0,int4
layer,6,3.6104038,,0.0,int4
layer,7,3.6104038,,0.0,int4
layer,8,3.6104038,,0.0,int4
layer,9,3.6104038,,0.0,int4
layer,10,3.6104038,,0.0,int4
layer,11,3.6104038,,0.0,int4
layer,12,3.6104038,,0.0,int4
layer,13,3.6104038,,0.0,int4
layer,14,3.6104038,,0.0,int4
layer,15,3.6104038,,0.0,int4
layer,16,3.6104038,,0.0,int4
layer,17,3.6104038,,0.0,int4
layer,18,3.6104038,,0.0,int4
layer,19,3.6104038,,0.0,int4
layer,20,3.6104038,,0.0,int4
layer,21,3.6104038,,0.0,int4
layer,22,3.6104038,,0.0,int4
layer,23,3.6104038,,0.0,int4
layer,24,3.6104038,,0.0,int4
layer,25,3.6104038,,0.0,int4
layer,26,3.6104038,,0.0,int4
layer,27,3.6104038,,0.0,int4
layer,28,3.6104038,,0.0,int4
layer,29,3.6104038,,0.0,int4
layer,30,3.6104038,,0.0,int4
layer,31,3.6104038,,0.0,int4
global,-1,1.691616,0.6599663496017456,0.166015625,float16
layer,0,1.2952714,,0.3125,float16
layer,1,0.737787,,0.875,float16
layer,2,0.5459004,,0.875,float16
layer,3,1.2167377,,0.34375,float16
layer,4,1.1296501,,0.34375,float16
layer,5,1.2113409,,0.28125,float16
layer,6,2.0031958,,0.0,float16
